risk_probability,risk_class,osmid,shap_Lighting_high,shap_Visibility_high,shap_Connectivity_high,shap_Enclosure_high,shap_Land Use_high,shap_Transit Proximity_high,shap_Pedestrian Priority_high,shap_Lighting_low,shap_Visibility_low,shap_Connectivity_low,shap_Enclosure_low,shap_Land Use_low,shap_Transit Proximity_low,shap_Pedestrian Priority_low,shap_Lighting_medium,shap_Visibility_medium,shap_Connectivity_medium,shap_Enclosure_medium,shap_Land Use_medium,shap_Transit Proximity_medium,shap_Pedestrian Priority_medium
1.0,low,534022322,0.009953714543634175,-0.15106024120393177,0.0016057979551911319,-0.023068906713788365,0.023953619251389544,-0.09799008260373822,0.004239673064661505,-0.014953503425780917,0.529624917187405,-0.031143283989912243,0.005774282283217351,-0.08361100278768893,0.2904773039935216,-0.03934780064738762,0.004999788882146812,-0.3785646759834734,0.029537486034720943,0.017294624430571157,0.059657383536299416,-0.19248722138978308,0.035108127582726134
1.0,low,"[1068477998, 1068477999, 232718096, 1068478001, 1068478000]",0.008526861782978644,-0.07724420839658458,0.01797708548129671,-0.04900572577290245,-0.03027483549386209,-0.1150280152902935,0.012682411982785191,-0.01721697581287944,0.18428314657113615,-0.05976289391772046,0.07920147939859776,0.09199732794718041,0.4040718141390547,-0.02575155333054243,0.008690114029900671,-0.10703893817455136,0.04178580843642393,-0.03019575362569525,-0.06172249245331841,-0.28904379884876125,0.01306914134775746
0.5171,low,"[1256612363, 959597046]",0.009636816526335364,-0.09183297638269891,0.03776974891757556,-0.01212628375814561,0.029527565634922138,-0.18569311122492163,-0.019648185419592974,-0.030003876364665033,0.17480483301887476,-0.19408376475304576,-0.04559651884476675,-0.1235155140429884,0.3271735046279569,0.06510702125974567,0.020367059838329676,-0.08297185663617535,0.15631401583547053,0.057722802602912654,0.09398794840806654,-0.14148039340303475,-0.04545883584015255
1.0,medium,228533858,0.010646117923900522,-0.21431009064907133,0.011211806039039832,0.008398925530716396,-0.080211078306584,0.05883291900668072,-0.02693502226802696,-0.028540746079559143,0.11686953152801519,-0.04298314516293349,-0.08400272200119371,0.0715826834479513,-0.37702226248725285,0.0009221179879164345,0.017894628155658884,0.09744055912105577,0.031771339123893245,0.07560379647047699,0.00862839485863239,0.3181893434805714,0.026012904280110022
1.0,medium,2418096,0.011741890104269403,-0.03849289271109731,0.011983871895040975,-0.015027068581622602,0.07305284917889915,-0.11664057448717251,-0.158984318362342,-0.026234478052075558,-0.09193954115454593,-0.04044462908198345,-0.047569814057063016,-0.19965674095586874,-0.08425312766246278,0.14692069619603138,0.014492587947806036,0.13043243386564318,0.028460757186942416,0.06259688263868556,0.1266038917769696,0.20089370214963537,0.01206362216631064
0.9137,high,193958142,0.02999534828764507,0.4457423361003546,0.077940919009243,0.049103036397228655,-0.04698571563875442,0.30193973767325477,-0.17645017281279538,-0.01545511725922355,-0.2069543257122432,-0.02558178610683818,-0.02091472500233396,0.03661798129702449,-0.2057614652231369,0.0948717922003924,-0.014540231028421509,-0.238788010388111,-0.05235913290240434,-0.02818831139489441,0.010367734341730222,-0.09617827245011751,0.08157838061240302
0.8981,medium,"[6010081, 6010078]",0.019354640312295564,-0.09120876383983877,0.008938446875206138,-0.018661910191988325,-0.19233905129548634,0.4409335314449106,-0.2974998279606522,-0.014971559662316503,0.0015786799630509406,-0.02320946462191438,-0.02176674978336535,0.06096681610980286,-0.44742830158334257,0.1016529337717265,-0.004383080649979006,0.08963008387678822,0.014271017746708388,0.04042865997535394,0.13137223518568367,0.006494770138431782,0.1958468941889262
0.6568,medium,193958142,0.008590105208569895,-0.10722822576073761,0.009084430197684441,-0.06423284981350307,-0.09377810375836598,0.11560200818856456,-0.10040378996864521,-0.03318151242474418,0.10819430194717293,-0.0697608593758534,0.07503620086990871,0.17526118007591152,-0.4408907520824245,0.1853585870493477,0.02459140721617418,-0.0009660761864353929,0.06067642917816883,-0.010803351056405716,-0.08148307631754534,0.32528874389386014,-0.0849547970807026
1.0,medium,"[1256612368, 1256612364]",0.014198345812450396,-0.21979771767958797,0.01424072912989988,-0.10705078888246486,0.013671780680101674,0.25117058503475065,-0.19879807222093573,-0.02044799465417091,0.08410461519513733,-0.02342797025738258,0.04027773227103879,-0.011594184682408682,-0.5166414820471175,0.10455163940171483,0.006249648841720419,0.1356931024844503,0.009187241127482428,0.06677305661142571,-0.0020775959976934554,0.26547089701236654,0.09424643281922038
0.9999,medium,6570833,0.009504760541528979,-0.03559939484482688,-0.03177650886027766,-0.03958769202821258,-0.00998845895484047,0.004726164978483726,-0.1296452962954118,-0.0327264307303097,-0.1195336959945351,0.030664923587685203,-0.01950483177446733,-0.06015993687224668,-0.2888351927354951,0.1469778622402124,0.02322167018878086,0.1551330908393618,0.0011115852725924556,0.05909252380267972,0.07014839582708686,0.2841090277570114,-0.01733256594480065
