osmid,lighting,visibility,connectivity,enclosure,dominant_land_use_score,public_transport_proximity_m,dist_to_rail_m,dist_to_bus_m,pedestrian_priority_score,lighting_norm,visibility_norm,connectivity_norm,enclosure_norm,dominant_land_use_score_norm,public_transport_proximity_m_norm,pedestrian_priority_score_norm,risk_class,risk_probability
"[23627013, 196507350, 23627015]",0,0.9962,4,0.0042741816120318386,0.5,663.16,670.46,663.16,0.34,0.0,0.9952488122030507,0.0,0.00579433589760382,0.49994999499949994,0.6331079532431813,0.22099447513812162,medium,0.9707
"[1501072969, 4297442]",0,1.0,6,0.0035587937277109898,0.3912,518.0,527.85,518.0,0.555,0.0,1.0,0.15384615384615385,0.004824297772190417,0.3911391139113911,0.49448009779203916,0.696132596685083,low,0.9998
"[44098689, 1501072970, 1223428814, 197895794]",0,0.9629,5,0.07996580273617332,0.2596,233.01,233.01,267.2,0.28,0.0,0.9536134033508376,0.07692307692307693,0.10842922792470086,0.2595259525952595,0.2223145389258156,0.0883977900552487,low,0.9827
44098943,0,0.9892,6,0.30419932594402654,0.0023,61.05,61.05,63.42,0.465,0.0,0.9864966241560388,0.15384615384615385,0.41248115733902957,0.0022002200220022005,0.0580926732370693,0.49723756906077354,low,1.0
31277705,0,0.9322,6,0.02105871738737651,0.0023,62.27,62.27,66.28,0.5725,0.0,0.9152288072018003,0.15384615384615385,0.028553513088459465,0.0022002200220022005,0.059257773703109494,0.7348066298342542,low,1.0
"[67625995, 45316295]",0,0.8134,7,0.12995027369805495,0.5,12.08,12.08,99.31,0.465,0.0,0.7666916729182295,0.23076923076923078,0.1762062249557243,0.49994999499949994,0.011326304530521813,0.49723756906077354,low,0.9995
179212414,0,0.6488,9,0.24949096910759738,0.056,17.34,17.34,135.26,0.4825,0.0,0.5608902225556389,0.38461538461538464,0.3382987549344399,0.055905590559055904,0.016349606539842618,0.5359116022099447,low,0.8801
41388746,0,0.8253,6,0.07996580273617332,0.5,150.93,150.93,215.94,0.425,0.0,0.7815703925981494,0.15384615384615385,0.10842922792470086,0.49994999499949994,0.14392810757124305,0.4088397790055249,low,0.992
30920039,0,0.5825,7,0.40392416973176465,0.4344,70.61,70.61,173.1,,0.0,0.47799449862465615,0.23076923076923078,0.5477041638298912,0.43434343434343436,0.06722247688899076,0.6906077348066298,medium,0.9939
"[77092421, 67605286, 41388746, 44098801, 44737266, 67625983]",0,0.853,7,0.40392416973176465,0.2152,33.3,33.3,174.19,0.465,0.0,0.8162040510127532,0.23076923076923078,0.5477041638298912,0.21512151215121514,0.03159141263656506,0.49723756906077354,low,0.9344
41388746,0,0.8387,6,0.11792805150719264,0.2002,342.2,346.2,342.2,0.425,0.0,0.7983245811452864,0.15384615384615385,0.1599045596173481,0.2001200120012001,0.32659103063641226,0.4088397790055249,low,0.8474
514121071,0,1.0,6,0.11719625923484638,0.5,143.77,143.77,145.24,0.485,0.0,1.0,0.15384615384615385,0.15891227778029587,0.49994999499949994,0.13709030483612197,0.5414364640883977,low,1.0
178567394,0,1.0,5,0.04098485471906703,0.501,286.27,286.27,287.14,0.525,0.0,1.0,0.07692307692307693,0.05557257970616312,0.5009500950095009,0.2731778592711437,0.6298342541436465,low,1.0
410755435,0,1.0,6,0.04098485471906703,0.501,364.33,364.33,364.94,0.555,0.0,1.0,0.15384615384615385,0.05557257970616312,0.5009500950095009,0.3477251890900756,0.696132596685083,low,1.0
"[27880211, 28875047]",0,1.0,10,9.498799650422e-07,0.5,309.57,309.57,314.01,0.485,0.0,1.0,0.46153846153846156,2.1535194498837838e-21,0.49994999499949994,0.29542936817174725,0.5414364640883977,low,0.999
576632589,0,1.0,7,9.498799650422e-07,0.5,202.85,202.85,204.29,0.525,0.0,1.0,0.23076923076923078,2.1535194498837838e-21,0.49994999499949994,0.19351172740469097,0.6298342541436465,low,1.0
28890269,0,1.0,7,0.11051843827163631,0.0849,38.88,38.88,40.25,0.6925,0.0,1.0,0.23076923076923078,0.1498574124813843,0.0848084808480848,0.03692031476812591,1.0,low,1.0
67502785,0,0.9524,8,0.05729622759443465,0.0849,40.93,40.93,42.15,0.4625,0.0,0.94048512128032,0.3076923076923077,0.07769016642202121,0.0848084808480848,0.03887806555122623,0.4917127071823205,low,1.0
6276353,0,1.0,10,0.012310909219753353,0.7804,47.52,47.52,49.13,,0.0,1.0,0.46153846153846156,0.01669182571245211,0.7803780378037803,0.04517151806860724,0.6906077348066298,low,1.0
6276353,0,0.8025,12,0.012310909219753351,0.7804,61.87,66.06,61.87,,0.0,0.7530632658164541,0.6153846153846154,0.016691825712452108,0.7803780378037803,0.05887577355030942,0.6906077348066298,low,0.9965
203973869,0,0.9606,10,0.16396653131183267,0.6245,66.84,66.84,67.32,0.535,0.0,0.9507376844211052,0.46153846153846156,0.22233094623273333,0.6244624462446245,0.0636221254488502,0.6519337016574587,low,0.9998
4827168,0,0.9915,7,0.05729622759443465,0.0849,45.43,45.43,45.76,0.4625,0.0,0.9893723430857715,0.23076923076923078,0.07769016642202121,0.0848084808480848,0.043175567270226915,0.4917127071823205,low,1.0
67626148,0,1.0,8,0.05729622759443465,0.2684,108.63,109.77,108.63,0.4225,0.0,1.0,0.3076923076923077,0.07769016642202121,0.26832683268326835,0.10353159141263657,0.4033149171270718,low,1.0
44887260,0,0.8641,9,0.06218471256120993,0.5,8.29,8.29,11.96,,0.0,0.8300825206301574,0.38461538461538464,0.08431876175780063,0.49994999499949994,0.007706853082741233,0.6906077348066298,low,1.0
548889114,0,0.9329,6,0.18588428379656105,0.5,38.8,38.8,44.6,,0.0,0.9161040260065014,0.15384615384615385,0.25205056547641813,0.49994999499949994,0.036843914737565896,0.6906077348066298,low,1.0
