osmid,lighting,visibility,connectivity,enclosure,dominant_land_use_score,public_transport_proximity_m,dist_to_rail_m,dist_to_bus_m,pedestrian_priority_score,lighting_norm,visibility_norm,connectivity_norm,enclosure_norm,dominant_land_use_score_norm,public_transport_proximity_m_norm,pedestrian_priority_score_norm,risk_class,risk_probability
"[248565672, 1104543532]",0,0.9457,9,0.12426230153612683,0.3446,23.64,23.64,24.05,0.425,0.0,0.9337239106554376,0.6,0.17232236056748754,0.34453445344534456,0.06899683581389897,0.3184357541899442,low,0.9785
"[34608163, 584532229]",0,0.8096,8,0.04583189188247885,1.0,27.52,27.52,70.22,0.385,0.0,0.7676064933479799,0.5,0.06355343026850509,1.0,0.08036446736200632,0.229050279329609,medium,0.9926
237910182,0,0.5345,7,0.25785528162132804,0.0654,94.44,94.44,103.21,0.6525,0.0,0.4318320517514952,0.4,0.35759189573234357,0.0653065306530653,0.2764268135474041,0.8268156424581006,medium,0.9813
"[1435726369, 1408672894, 546133684, 511211614]",0,0.5239,8,0.16731667474439726,0.277,1.46,1.46,11.16,0.425,0.0,0.41889417795679246,0.5,0.2320310646178294,0.276927692769277,0.004013828665182233,0.3184357541899442,medium,0.998
"[546184105, 237566135]",0,0.7232,6,0.09331055745317969,0.3135,19.51,19.51,128.37,0.425,0.0,0.6621506163798364,0.3,0.1293978353781252,0.3134313431343134,0.0568967537794445,0.3184357541899442,low,0.9166
546184105,0,0.7669,6,0.10845200568617923,0.0654,138.6,138.6,173.34,0.425,0.0,0.7154888319296961,0.3,0.1503963120500391,0.0653065306530653,0.4058068674557599,0.3184357541899442,medium,0.9885
"[237566144, 1206381001, 1213857011, 20044319]",0,0.992,6,0.00031705874014008035,0.0254,196.77,196.77,241.99,,0.0,0.9902355669473941,0.3,0.0004325089894894503,0.025302530253025302,0.5762334466190084,0.4581005586592179,low,0.9719
237725943,0,0.697,6,0.21474005112671524,0.1726,91.18,96.12,91.18,0.425,0.0,0.6301720981325521,0.3,0.29779879352616406,0.17251725172517254,0.2668756592054377,0.3184357541899442,medium,0.9989
"[532696001, 545718433]",0,0.7686,8,0.25854675713662373,0.1839,31.1,31.1,33.51,0.3225,0.0,0.7175637739533748,0.5,0.35855084841993995,0.18381838183818383,0.09085315832649712,0.08938547486033527,medium,0.9995
"[550280513, 237506925]",0,0.5347,8,0.16432108126956807,0.0504,86.76,90.85,86.76,0.4475,0.0,0.4320761625778103,0.5,0.2278767130173896,0.0503050305030503,0.25392593460682056,0.36871508379888274,medium,0.9999
328020785,0,1.0,8,0.25854675713662373,0.1839,55.78,58.08,55.78,0.425,0.0,1.0,0.5,0.35855084841993995,0.18381838183818383,0.1631606703386851,0.3184357541899442,low,0.7881
532696011,0,0.7439,8,0.2764540583111594,0.1637,39.17,126.6,39.17,0.3225,0.0,0.6874160869034542,0.5,0.38338506772208736,0.16361636163616364,0.11449666002578224,0.08938547486033527,medium,0.9999
"[316582576, 316582580]",0,0.7687,8,0.23057948114513968,0.0867,118.91,118.91,118.93,0.3225,0.0,0.7176858293665325,0.5,0.3197652459169873,0.08660866086608661,0.3481190671510605,0.08938547486033527,medium,0.9989
905209182,0,1.0,8,0.262804426891091,0.1254,54.89,55.99,54.89,0.6525,0.0,1.0,0.5,0.36445547376621595,0.12531253125312533,0.1605531466072893,0.8268156424581006,low,1.0
"[545715324, 316582574]",0,0.7607,8,0.250540168849052,0.3923,25.93,25.93,29.29,0.3225,0.0,0.7079213963139266,0.5,0.34744714454756026,0.39223922392239224,0.07570608226883861,0.08938547486033527,medium,0.9999
918438451,0,0.4897,8,0.225127378844357,0.1132,21.79,21.79,24.16,0.6525,0.0,0.37715122665690226,0.5,0.3122041565671349,0.1131113111311131,0.06357670221493025,0.8268156424581006,low,0.5546
"[244057616, 545715325]",0,0.7533,8,0.27171179323700634,0.0119,36.12,36.12,38.35,0.3225,0.0,0.698889295740266,0.5,0.376808395464634,0.011801180118011803,0.10556076409234733,0.08938547486033527,medium,0.9993
"[907252500, 532436406]",0,0.5348,7,0.17109820514939358,0.0119,12.17,12.17,12.4,0.465,0.0,0.43219821799096797,0.4,0.23727536996904336,0.011801180118011803,0.03539200750029298,0.40782122905027945,medium,0.8244
