risk_probability,risk_class,osmid,shap_Lighting_high,shap_Visibility_high,shap_Connectivity_high,shap_Enclosure_high,shap_Land Use_high,shap_Transit Proximity_high,shap_Pedestrian Priority_high,shap_Lighting_low,shap_Visibility_low,shap_Connectivity_low,shap_Enclosure_low,shap_Land Use_low,shap_Transit Proximity_low,shap_Pedestrian Priority_low,shap_Lighting_medium,shap_Visibility_medium,shap_Connectivity_medium,shap_Enclosure_medium,shap_Land Use_medium,shap_Transit Proximity_medium,shap_Pedestrian Priority_medium
0.9613,medium,328020785,0.0009578628997423608,-0.2051994347745562,0.012341437293525659,0.010318928074283525,-0.010816798817316462,-0.12634854467597972,0.0,-0.0477329461408318,0.20527440527219798,-0.06596577998686451,-0.22721118894039397,0.019564651538240926,-0.05198983225401452,0.0,0.046775083241089616,-7.497049764147376e-05,0.05362434269333908,0.21689226086611074,-0.008747852720924088,0.1783383769299944,0.0
1.0,medium,532696011,0.0025435737084085475,-0.14292955083188688,0.012817495498325417,0.02248968888237474,-0.015076013716342075,-0.1985916480302222,0.0,-0.03319720254204431,-0.07083222305449867,-0.018021905923111765,-0.1447087629056758,0.03824515371988166,0.0217247433825914,0.0,0.030653628833635364,0.21376177388638565,0.0052044104247860636,0.12221907402330093,-0.02316914000353964,0.17686690464763086,0.0
1.0,medium,"[316582576, 316582580]",0.005588378050094496,-0.2908554909741781,0.015305679165387349,0.009902650874973808,-0.04887108609782845,-0.009774717457302552,0.0,-0.025227310582033265,-0.026495351185950103,-0.011839597707598654,-0.05875825140165,0.04244681676378617,-0.1269187507791822,0.0,0.019638932531938505,0.31735084216012777,-0.0034660814577889484,0.048855600526675765,0.006424269334041912,0.1366934682364846,0.0
0.9005,medium,905209182,0.0008243690268049525,-0.19410491452703096,0.011621043083499979,0.011373332478107862,-0.019620631868089766,-0.12883974819876487,0.0,-0.04751957563485848,0.22417989692356322,-0.07454061456609722,-0.22635306369653774,0.05230176601922951,-0.03536768352252874,0.0,0.04669520660805338,-0.030074982396532203,0.0629195714825973,0.2149797312184298,-0.0326811341511397,0.16420743172129357,0.0
1.0,medium,"[545715324, 316582574]",0.0030770600969202005,-0.1483118002223073,0.012648243575364669,0.00975933319705841,0.02305174431654552,-0.21897103640683477,0.0,-0.03614474132280909,-0.06135165539063166,-0.018633986977193272,-0.13441399968698797,-0.017954060708395243,0.061711402547813335,0.0,0.03306768122588896,0.2096634556129393,0.005985743401828614,0.12465466648992984,-0.005097683608149934,0.1572596338590219,0.0
1.0,medium,918438451,0.005252249482018259,0.022351969387384808,0.013336154955693541,0.0036593592527603205,-0.0383624396482236,-0.3249573538198482,0.0,-0.0242645065327279,-0.21961927575129347,-0.009938192912854537,-0.055722865191336006,0.03936983835276614,0.06338257077085521,0.0,0.01901225705070965,0.1972673063639087,-0.0033979620428391324,0.05206350593857547,-0.0010073987045427744,0.26157478304899295,0.0
0.9999,medium,"[244057616, 545715325]",0.002419902653715611,-0.13362892342750982,0.011693298435355833,0.018331074005057128,-0.03691601592164277,-0.18064588241192553,0.0,-0.038575205972546614,-0.0829448685233268,-0.01885537059266299,-0.1866160029407393,0.08043191974033707,0.039905473874150915,0.0,0.03615530331883107,0.21657379195083645,0.0071620721573069646,0.16828492893568178,-0.0435159038186947,0.14074040853777436,0.0
0.999,medium,"[907252500, 532436406]",0.004412426546326544,-0.009439580513353966,-0.0075823649507977455,-0.04331832846799069,-0.03704456219498588,-0.22577413595178006,0.0,-0.034821608953636646,-0.3001570463400044,0.007783083576875089,-0.061403998496360856,0.07167060589075844,0.11110796618492227,0.0,0.03040918240730997,0.3095966268533582,-0.00020071862607742158,0.10472232696435138,-0.034626043695772726,0.11466616976685787,0.0
0.9962,medium,"[1433159890, 121830607]",0.007061744214724573,-0.032957113273346855,-0.025989730633122047,-0.04272658806663751,0.010596556978937657,-0.2309539630460021,0.0,-0.02635513304757818,-0.11357376477701127,0.004782229924879134,-0.04806942434452177,0.006134300406351222,-0.02971065307648888,0.0,0.019293388832853614,0.1465308780503581,0.021207500708243114,0.09079601241115931,-0.016730857385288782,0.26066461612249103,0.0
0.9999,low,1335081722,0.001240403830462082,-0.13521022016914294,-0.040069805033264044,-0.01611273796265475,-0.014766755065849516,-0.11382743560855081,0.0,-0.018627575855872026,0.43158536334874015,0.12224838745045746,-0.04250363388034452,0.08745808449479257,0.2129268292825695,0.0,0.01738717202540982,-0.2963751431795971,-0.08217858241719325,0.0586163718429995,-0.0726913294289428,-0.09909939367401871,0.0
1.0,high,237795734,0.01651049528596612,0.3330933330705308,0.019051561110174812,0.007924199257786212,0.010634508838515144,0.2940304226730107,0.0,-0.014332492305464635,-0.08690975165627958,-0.006058401856192354,-0.023172786708650913,0.008868398435819137,-0.0851874108279816,0.0,-0.0021780029805014145,-0.24618358141425098,-0.012993159253982488,0.015248587450864895,-0.019502907274334166,-0.20884301184502882,0.0
1.0,medium,237795736,0.004222669421266194,-0.11106722019380998,0.013306746095955002,-0.08061610472680089,-0.03433268095165798,-0.11025987189316691,0.0,-0.02892721500600791,-0.12125159645405884,-0.010926717894878013,-0.011191108072209445,0.06176168235964799,-0.09625681274561508,0.0,0.02470454558474182,0.23231881664786885,-0.002380028201077024,0.09180721279901019,-0.02742900140798989,0.20651668463878226,0.0
0.9999,high,4744939,0.023546938930937723,0.17049471612095846,0.02283850925075569,-0.06226735680149269,0.08658292094555853,0.43993596365027177,0.0,-0.015356520171367037,-0.08169186292908473,-0.005251192106141484,-0.006835305757870196,-0.009098232613510393,-0.08855933134077615,0.0,-0.00819041875957055,-0.08880285319187364,-0.01758731714461438,0.06910266255936304,-0.07748468833204811,-0.3513766323094954,0.0
0.9963,high,449991621,0.02733047578299977,0.3197368396259095,0.032779031530776714,0.023282771924225818,0.18337644773473433,0.09100782757075995,0.0,-0.02046112053511199,-0.08407476327068777,-0.006795222456834671,-0.0269432225104268,-0.010842810685271436,-0.05767530546041722,0.0,-0.0068693552478877595,-0.2356620763552221,-0.02598380907394221,0.003660450586200563,-0.1725336370494632,-0.03333252211034315,0.0
