osmid,lighting,visibility,connectivity,enclosure,dominant_land_use_score,public_transport_proximity_m,dist_to_rail_m,dist_to_bus_m,lighting_norm,visibility_norm,connectivity_norm,enclosure_norm,dominant_land_use_score_norm,public_transport_proximity_m_norm,risk_class,risk_probability
11103675,0,0.4888,8,0.47658486180851195,0.3487,86.25,87.41,86.25,0.0,0.32886963371406064,0.26666666666666666,0.6494929062138038,0.3487,0.20330812854442343,high,1.0
1436555094,0,0.4871,9,0.1645770216622576,0.4257,8.29,8.29,22.28,0.0,0.3266377839044243,0.3333333333333333,0.22428662062367402,0.4257,0.01909262759924385,medium,0.9846
"[1436555096, 1436555098, 1436555095]",0,0.4651,10,0.21136510532527425,0.352,58.13,58.13,60.47,0.0,0.2977550216620717,0.4,0.2880497211114884,0.352,0.13686200378071833,high,0.9987
31784949,0,0.9813,8,0.0,0.0,57.37,57.37,62.26,0.0,0.975449652094,0.26666666666666666,0.0,0.0,0.13506616257088844,medium,0.9741
31784953,0,1.0,8,0.0,,58.22,58.22,74.18,0.0,1.0,0.26666666666666666,0.0,0.2432,0.13707466918714553,low,0.9997
44804321,0,1.0,6,0.0,,42.07,42.07,86.51,0.0,1.0,0.13333333333333333,0.0,0.2432,0.09891304347826085,medium,0.9456
"[243238208, 4487908, 62695113, 77091189, 43682134]",0,0.8866,6,0.09669908307852827,0.299,21.61,27.49,21.61,0.0,0.8511224891689643,0.13333333333333333,0.1317821305917142,0.299,0.05056710775047258,medium,1.0
"[43682128, 136091482]",0,0.9835,6,0.0,0.4874,42.26,42.26,60.8,0.0,0.9783379283182356,0.13333333333333333,0.0,0.4874,0.09936200378071831,low,0.9977
43682140,0,0.9466,7,0.0,0.0,35.75,35.75,64.4,0.0,0.9298936589208349,0.2,0.0,0.0,0.08397920604914932,medium,0.9999
31784952,0,1.0,8,0.0,,33.37,33.37,38.72,0.0,1.0,0.26666666666666666,0.0,0.2432,0.07835538752362947,low,1.0
31784951,0,0.7959,8,0.031429513432772886,0.0,32.48,32.48,50.09,0.0,0.7320467375607195,0.26666666666666666,0.042832342477003245,0.0,0.07625236294896029,medium,1.0
31784948,0,1.0,8,0.0,,8.8,8.8,59.67,0.0,1.0,0.26666666666666666,0.0,0.2432,0.02029773156899811,low,1.0
44335075,0,0.9179,7,0.0,0.0,3.36,3.36,13.06,0.0,0.8922147827228567,0.2,0.0,0.0,0.00744328922495274,medium,0.9939
"[43407368, 6601826, 131543170]",0,0.7408,6,0.1363379288077905,0.0,12.73,12.73,16.71,0.0,0.6597085466719179,0.13333333333333333,0.1858022037723083,0.0,0.029584120982986763,high,0.9998
43682124,0,0.945,6,0.0,0.0,12.52,12.52,17.69,0.0,0.9277930943941182,0.13333333333333333,0.0,0.0,0.029087901701323245,medium,1.0
43682125,0,0.9153,7,0.0,0.0825,55.86,55.86,68.48,0.0,0.8888013653669424,0.2,0.0,0.0825,0.13149810964083175,medium,1.0
44804321,0,0.9517,7,0.0,0.5,54.6,54.6,75.12,0.0,0.936589208349744,0.2,0.0,0.5,0.12852079395085064,low,0.9998
31784950,0,1.0,8,0.0,,2.14,2.14,72.97,0.0,1.0,0.26666666666666666,0.0,0.2432,0.0045604914933837426,low,1.0
43682138,0,0.9861,6,0.0,0.0,37.93,37.93,54.87,0.0,0.9817513456741499,0.13333333333333333,0.0,0.0,0.08913043478260868,medium,1.0
4261169,0,0.9744,8,0.0,0.5,57.74,57.74,60.5,0.0,0.9663909675725351,0.26666666666666666,0.0,0.5,0.13594045368620036,low,1.0
1436555094,0,0.4871,9,0.16457702166225754,0.4257,8.29,8.29,22.28,0.0,0.3266377839044243,0.3333333333333333,0.22428662062367397,0.4257,0.01909262759924385,medium,0.9846
4526343,0,0.6444,11,0.34724565648225425,0.0,83.92,83.92,89.8,0.0,0.5331495339372455,0.4666666666666667,0.473228607687915,0.0,0.1978024574669187,high,1.0
248346183,0,0.6443,12,0.07481112069334529,0.0,130.45,130.45,131.65,0.0,0.5330182486543258,0.5333333333333333,0.10195307507638643,0.0,0.307750472589792,medium,0.9978
4680951,0,0.5342,11,0.1619921264226325,0.0,25.89,25.89,30.52,0.0,0.3884731521596429,0.4666666666666667,0.22076390881308175,0.0,0.0606805293005671,medium,0.8536
15218911,0,0.4103,11,0.5086365456766547,0.0,190.74,190.74,198.25,0.0,0.22581068662202963,0.4666666666666667,0.6931731465503724,0.0,0.4502126654064272,high,1.0
1459054567,0,0.5431,11,0.1860873239126934,0.0,139.09,139.09,141.64,0.0,0.40015754233950374,0.4666666666666667,0.25360099848527345,0.0,0.32816635160680524,high,1.0
248729535,0,0.6556,10,0.2505427630820256,0.0,64.67,64.67,73.73,0.0,0.5478534856242614,0.4,0.3414412843653504,0.0,0.1523156899810964,high,1.0
428732053,0,0.5653,12,0.1512747265105156,0.0,10.99,10.99,16.76,0.0,0.42930287514769594,0.5333333333333333,0.20615816747761065,0.0,0.025472589792060487,medium,1.0
4645470,0,0.5684,18,0.1509104118463373,0.381,7.65,7.65,12.03,0.0,0.4333727189182093,0.9333333333333333,0.20566167711676375,0.381,0.017580340264650284,low,1.0
