neighborhood,borough,location_id,lighting,visibility,connectivity,enclosure,risk_score,dominant_land_use_score,public_transport_proximity_m,pedestrian_priority_score,som_cluster,som_x,som_y
Eixample,Eixample,eixample_001094,0.0,0.5629216608045517,4.0,0.1415444672730585,0.3802046329267415,0.4999,21.27,0.0,6_3,6,3
Eixample,Eixample,eixample_001095,0.0,1.0,6.0,0.0,0.2923683796461241,0.4969,14.44,0.0,1_4,1,4
Eixample,Eixample,eixample_001096,0.0,0.5605709204755556,4.0,0.1535379100819111,0.3749105358116117,0.4881,20.27,0.0,7_5,7,5
Eixample,Eixample,eixample_001097,0.0,1.0,5.0,0.0,0.2966448169834712,0.5,31.9,0.0,0_4,0,4
Eixample,Eixample,eixample_001098,0.0,0.6165197996491503,6.0,0.0808536280713417,0.364181266820533,0.4928,20.44,0.0,4_5,4,5
Eixample,Eixample,eixample_001099,0.0,0.661062238910695,5.0,0.0843714536496578,0.3511009980789267,0.4825,29.49,0.0,1_3,1,3
Eixample,Eixample,eixample_001100,0.0,1.0,4.0,0.0,0.2876073180116099,0.5,14.47,0.0,7_1,7,1
Eixample,Eixample,eixample_001101,0.0,1.0,4.0,0.0,0.2890290538173247,0.5,18.79,0.0,7_1,7,1
Eixample,Eixample,eixample_001102,0.0,1.0,4.0,0.0,0.2868215374439029,0.5,12.08,0.0,7_1,7,1
Eixample,Eixample,eixample_001103,0.0,0.6466170635839061,5.0,0.0139089780345431,0.3477436930486013,0.4994,15.95,0.0,6_3,6,3
Eixample,Eixample,eixample_001104,0.0,0.2041420891632281,5.0,0.6772003215106455,0.5243225554416442,0.4863,16.35,0.0,2_1,2,1
Eixample,Eixample,eixample_001105,0.0,1.0,5.0,0.0,0.2927293899514517,0.5,20.07,0.0,0_4,0,4
Eixample,Eixample,eixample_001106,0.0,1.0,4.0,0.0,0.2906372722013259,0.5,23.67,0.0,7_1,7,1
Eixample,Eixample,eixample_001107,0.0,0.0,5.0,1.0,0.6322851906876421,0.5,25.61,0.0,4_0,4,0
Eixample,Eixample,eixample_001108,0.0,0.0,6.0,1.0,0.6733703700475384,0.5,116.68,0.0,4_2,4,2
Eixample,Eixample,eixample_001109,0.0,1.0,6.0,0.0,0.3277230877976969,0.5,114.48,0.0,1_4,1,4
Eixample,Eixample,eixample_001110,0.0,0.0781982912907925,5.0,0.8807476057815414,0.6239153658392033,0.5,95.09,0.0,4_2,4,2
Eixample,Eixample,eixample_001111,0.0,1.0,4.0,0.0,0.3153712389485151,0.5,97.87,0.0,0_4,0,4
Eixample,Eixample,eixample_001112,0.0,1.0,7.0,0.0,0.3223820781800778,0.5,88.81,0.0,1_5,1,5
Eixample,Eixample,eixample_001113,0.0,1.0,6.0,0.0,0.3150399502481354,0.5012,74.92,0.0,1_4,1,4
Eixample,Eixample,eixample_001114,0.0,1.0,5.0,0.0,0.3052449756855972,0.4951,66.28,0.0,0_5,0,5
Eixample,Eixample,eixample_001115,0.0,1.0,6.0,0.0,0.3091742630381909,0.5,59.55,0.0,1_4,1,4
Eixample,Eixample,eixample_001116,34.99651844188493,1.0,4.0,0.0,0.2827871998511788,0.5,61.28,0.0,0_2,0,2
Eixample,Eixample,eixample_001117,0.0,1.0,4.0,0.0,0.3035209085712674,0.4999,62.69,0.0,0_4,0,4
Eixample,Eixample,eixample_001118,0.0,0.468749235025313,5.0,0.2851574165863977,0.435911424045773,0.4999,57.36,0.0,5_3,5,3
