borough,lighting,lighting_norm,visibility,visibility_norm,connectivity,connectivity_norm,enclosure,enclosure_norm,public_transport_proximity_m,public_transport_proximity_m_norm,dominant_land_use_score,dominant_land_use_score_norm,pedestrian_priority_score,pedestrian_priority_score_norm,risk_score,location_id
"London Borough of Islington, London, UK",0.0,0.0,0.8027,0.7380509824747743,12,0.6428571428571429,0.1990021641151215,0.1751757170010079,112.2,0.20664213465485679,0.5,0.5,0.5925,0.6496815286624205,0.36262859553081384,ISL_16642_-27210
"London Borough of Islington, London, UK",0.0,0.0,0.8059,0.7422995220392989,14,0.7857142857142857,0.1870284458386364,0.16463560708020342,84.45,0.15532831598217423,0.5,0.5,0.5925,0.6496815286624205,0.3599851486690786,ISL_16637_-27218
"London Borough of Islington, London, UK",0.0,0.0,0.7922,0.7241104620286777,16,0.9285714285714286,0.2135246479956824,0.18795942987028683,96.83,0.17822075112335659,0.5,0.5,0.5925,0.6496815286624205,0.38338058760648525,ISL_16636_-27225
"London Borough of Islington, London, UK",7.359248593434434,0.04504087653887728,0.8373,0.7839883165161976,14,0.7857142857142857,0.1599355292979265,0.14078651427374642,42.88,0.07845929103718634,0.3982,0.3982,0.57,0.592356687898089,0.3206219681472757,ISL_16627_-27221
"London Borough of Islington, London, UK",0.0,0.0,0.7889,0.7197291556027616,13,0.7142857142857143,0.2176560754231227,0.1915962031941227,8.69,0.01523696813920376,0.5,0.5,0.57,0.592356687898089,0.3373752520477508,ISL_16643_-27220
"London Borough of Islington, London, UK",4.82737766053264,0.02954504368945558,0.669,0.560541688794477,14,0.7857142857142857,0.2810550686764761,0.24740446110770756,47.55,0.08709480574714769,0.3438,0.3438,0.57,0.592356687898089,0.3740392012236142,ISL_16613_-27146
"London Borough of Islington, London, UK",15.51707698080826,0.09496930830144354,0.6517,0.5375730217737652,11,0.5714285714285714,0.2965972505053821,0.2610857839101251,22.17,0.040163464561105054,0.3915,0.3915,0.53,0.4904458598726115,0.3524275159555089,ISL_16610_-27152
"London Borough of Islington, London, UK",10.574149556969486,0.06471706433778995,0.6264,0.5039830058417418,12,0.6428571428571429,0.3509089415091084,0.30889475852816545,56.83,0.10425488636994028,0.3333,0.3333,0.5225,0.4713375796178343,0.390851763477447,ISL_16616_-27145
"London Borough of Islington, London, UK",0.0,0.0,0.7259,0.6360860329261816,12,0.6428571428571429,0.070587326158595,0.062135934681909775,187.4,0.3456979603912795,0.4918,0.4918,0.57,0.592356687898089,0.3992063270076242,ISL_16605_-27134
"London Borough of Islington, London, UK",0.0,0.0,0.6997,0.6013011152416357,12,0.6428571428571429,0.2486012099938118,0.2188362895530691,160.78,0.29647367739788094,0.47,0.47,0.57,0.592356687898089,0.417375677745506,ISL_16606_-27136
"London Borough of Islington, London, UK",0.0,0.0,0.6901,0.5885554965480616,12,0.6428571428571429,0.3461336239380435,0.3046911877622973,210.47,0.3883577728878123,0.3385,0.3385,0.5925,0.6496815286624205,0.43752803748629004,ISL_16597_-27138
