osm_id,name,highway,waterway,aerialway,barrier,man_made,railway,z_order,other_tags,lanes,maxspeed,oneway,sidewalk,cycleway,width,service,access,surface,smoothness,lit,bridge,tunnel,layer,ref,junction,oneway:cycleway,cycleway:both,cycleway:left,cycleway:right,foot,motor_vehicle,bicycle,footway,borough,longitude,latitude,location_id,lighting,connectivity,enclosure,visibility_blocked_ratio,visibility,public_transport_proximity_m,dominant_land_use_score,geometry,sidewalk_score,cycleway_score,speed_score,lane_penalty,highway_type_score,pedestrian_priority_score
1227259173,Carrer de Sancho d'Ávila,cycleway,,,,,,10,"""cycle_network""=>""ES:BCN"",""foot""=>""yes"",""lanes""=>""1"",""layer""=>""1"",""name:ca""=>""Carrer de Sancho d'Ávila"",""oneway""=>""no"",""segregated""=>""no"",""surface""=>""paving_stones""",1.0,,no,,,,,,paving_stones,,,,,1.0,,,,,,,yes,,,,Eixample,2.1849888,41.394929,eixample_001532,0.0,5.0,0.0,0.0,1.0,69.84,0.5,"LINESTRING (431864.155535 4582917.125127, 431869.407584 4582922.627142)",0.5,0.2,0.5,0.5,1.0,0.53
1227259174,,steps,,,,,,0,"""ramp""=>""separate""",,,,,,,,,,,,,,,,,,,,,,,,,Eixample,2.1860003,41.3957121,eixample_001533,0.0,4.0,0.0,0.0,1.0,51.44,0.5,"LINESTRING (431951.776939 4583005.468282, 431952.531284 4583006.560375)",0.5,0.2,0.5,0.5,1.0,0.53
1227259175,Carrer de Sancho d'Ávila,cycleway,,,,,,10,"""cycle_network""=>""ES:BCN"",""foot""=>""yes"",""lanes""=>""1"",""layer""=>""1"",""name:ca""=>""Carrer de Sancho d'Ávila"",""oneway""=>""no"",""segregated""=>""no"",""surface""=>""paving_stones""",1.0,,no,,,,,,paving_stones,,,,,1.0,,,,,,,yes,,,,Eixample,2.1858996,41.3958005,eixample_001534,0.0,4.0,0.0,0.0,1.0,64.51,0.5,"LINESTRING (431947.602364 4583000.733284, 431951.018333 4583003.032785, 431939.506145 4583013.73306, 431942.816876 4583016.39994, 431953.362681 4583011.404504, 431963.755025 4583021.221709)",0.5,0.2,0.5,0.0,0.85,0.6075
1227259176,,footway,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,Eixample,2.1860094,41.3957388,eixample_001535,0.0,4.0,0.0,0.0,1.0,53.42,0.5,"LINESTRING (431952.531284 4583006.560375, 431953.362681 4583011.404504)",0.5,0.2,0.5,0.5,1.0,0.53
1227259177,,footway,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,Eixample,2.1859914,41.3956961,eixample_001536,0.0,4.0,0.0,0.0,1.0,50.49,0.5,"LINESTRING (431951.018333 4583003.032785, 431951.776939 4583005.468282)",0.5,0.2,0.5,0.5,1.0,0.53
1227259178,Carrer de la Marina,footway,,,,,,10,"""foot""=>""yes"",""layer""=>""1"",""name:ca""=>""Carrer de la Marina""",,,,,,,,,,,,,,1.0,,,,,,,yes,,,,Eixample,2.1859612,41.3956416,eixample_001537,0.0,4.0,0.0,0.0,1.0,47.68,0.5,"LINESTRING (431948.26827 4582997.751467, 431949.364115 4582998.707117)",0.5,0.2,0.5,0.5,1.0,0.53
1227259179,Carrer de la Marina,footway,,,,,,10,"""foot""=>""yes"",""layer""=>""1"",""name:ca""=>""Carrer de la Marina""",,,,,,,,,,,,,,1.0,,,,,,,yes,,,,Eixample,2.1857758,41.3955175,eixample_001538,0.0,4.0,0.0,0.0,1.0,49.94,0.5,"LINESTRING (431932.496099 4582983.954509, 431933.870846 4582985.229519)",0.5,0.2,0.5,0.5,1.0,0.53
1227259180,,footway,,,,,,10,"""foot""=>""yes"",""layer""=>""1"",""surface""=>""paving_stones""",,,,,,,,,paving_stones,,,,,1.0,,,,,,,yes,,,,Eixample,2.1857337,41.3954998,eixample_001539,0.0,4.0,0.0,0.0,1.0,51.25,0.5,"LINESTRING (431928.842167 4582982.134675, 431930.457367 4582983.19647)",0.5,0.2,0.5,0.0,0.85,0.6075
1227259181,,steps,,,,,,10,"""foot""=>""yes"",""layer""=>""1"",""ramp""=>""separate"",""surface""=>""paving_stones""",,,,,,,,,paving_stones,,,,,1.0,,,,,,,yes,,,,Eixample,2.1857168,41.3954904,eixample_001540,0.0,4.0,0.0,0.0,1.0,51.67,0.5,"LINESTRING (431927.603575 4582981.113752, 431928.842167 4582982.134675)",0.5,0.2,0.5,0.5,1.0,0.53
1227259182,Carrer de Sancho d'Ávila,cycleway,,,,,,10,"""cycle_network""=>""ES:BCN"",""cycleway:surface""=>""paving_stones"",""cycleway:width""=>""1.8"",""foot""=>""yes"",""footway:surface""=>""paving_stones"",""lanes""=>""1"",""layer""=>""1"",""name:ca""=>""Carrer de Sancho d'Ávila"",""oneway""=>""no"",""segregated""=>""no"",""source:cycleway:width""=>""ARCore"",""surface""=>""paving_stones""",1.0,,no,,,,,,paving_stones,,,,,1.0,,,,,,,yes,,,,Eixample,2.1856539,41.3955583,eixample_001541,0.0,6.0,0.2621167783113893,0.2621167783113893,0.4838578502876136,60.76,0.5,"LINESTRING (431925.4125 4582979.269068, 431920.729763 4582987.184993, 431922.301378 4582988.946675, 431922.881229 4582989.263207, 431923.556806 4582989.090315, 431930.457367 4582983.19647, 431931.510674 4582984.963025)",0.5,0.2,0.5,0.0,0.85,0.6075
1227259183,,footway,,,,,,10,"""foot""=>""yes"",""layer""=>""1"",""surface""=>""paving_stones""",,,,,,,,,paving_stones,,,,,1.0,,,,,,,yes,,,,Eixample,2.1856964,41.3954773,eixample_001542,0.0,6.0,0.0,0.0,1.0,52.14,0.5,"LINESTRING (431925.4125 4582979.269068, 431927.603575 4582981.113752)",0.5,0.2,0.5,0.5,1.0,0.53
1227260278,Carrer de Rocafort,footway,,,,,,0,"""lit""=>""yes"",""name:ca""=>""Carrer de Rocafort"",""name:etymology:wikidata""=>""Q2898979"",""surface""=>""paving_stones""",,,,,,,,,paving_stones,,yes,,,,,,,,,,,,,,Eixample,2.1504676,41.3814775,eixample_001543,0.0,3.0,0.8992725668066118,0.8992725668066118,0.0660507758645168,133.02,0.4774,"LINESTRING (428966.927811 4581448.473542, 428966.214916 4581454.231837, 428966.171819 4581460.07239)",0.5,0.2,0.5,0.5,1.0,0.53
1227317193,Carrer de Sicília,residential,,,,,,3,"""lanes""=>""2"",""maxspeed""=>""30"",""name:ca""=>""Carrer de Sicília"",""name:etymology:wikidata""=>""Q1460"",""oneway""=>""yes"",""surface""=>""asphalt"",""width""=>""8""",2.0,30.0,yes,,,8,,,asphalt,,,,,,,,,,,,,,,,Eixample,2.1740181,41.4011873,eixample_001544,0.0,6.0,0.6144941228767417,0.6144941228767417,0.2614902707668984,51.41,0.4801,"LINESTRING (431025.150273 4583551.756704, 431022.267834 4583554.570981, 431014.641188 4583563.092919, 430997.541538 4583581.131468, 430996.259417 4583582.564854, 430980.708301 4583598.168262, 430977.0084 4583602.045123, 430964.26876 4583615.279063, 430930.154365 4583649.679111, 430918.331944 4583661.771894, 430906.967188 4583673.638274, 430905.726791 4583675.060175, 430891.309396 4583690.286573, 430887.051552 4583694.379762)",0.5,0.2,0.5,0.5,1.0,0.53
1227367185,Carrer de Villarroel,tertiary,,,,,,4,"""change:lanes""=>""yes|not_right|not_left"",""lanes""=>""3"",""lit""=>""yes"",""maxspeed""=>""50"",""name:ca""=>""Carrer de Villarroel"",""name:etymology:wikidata""=>""Q3813841"",""oneway""=>""yes"",""psv:lanes""=>""yes|yes|designated"",""surface""=>""asphalt""",3.0,50.0,yes,,,,,,asphalt,,yes,,,,,,,,,,,,,,Eixample,2.1595763,41.3830958,eixample_001545,0.0,6.0,0.0,0.0,1.0,9.92,0.5,"LINESTRING (429726.96391 4581629.057296, 429728.646197 4581627.486577, 429732.130059 4581623.711119)",0.5,0.2,0.7126,0.4,0.45,0.51
1227367186,Gran Via de les Corts Catalanes (lateral muntanya),service,,,,,,0,"""access""=>""destination"",""bus""=>""yes"",""lanes""=>""1"",""lit""=>""yes"",""name:ca""=>""Gran Via de les Corts Catalanes (lateral muntanya)"",""oneway""=>""yes"",""psv""=>""designated"",""surface""=>""asphalt"",""width""=>""4"",""wikidata""=>""Q263293"",""wikipedia""=>""ca:Gran Via de les Corts Catalanes""",1.0,,yes,,,4,,destination,asphalt,,yes,,,,,,,,,,,,,,Eixample,2.1592782,41.3829159,eixample_001546,0.0,6.0,0.3744247079210018,0.3744247079210018,0.4102133062813103,24.69,0.4836,"LINESTRING (429726.96391 4581629.057296, 429717.402452 4581619.212946, 429713.378315 4581615.56582, 429681.968815 4581584.427179)",0.5,0.2,0.5,0.5,1.0,0.53
1227367187,Gran Via de les Corts Catalanes (lateral mar),residential,,,,,,3,"""lanes""=>""1"",""lit""=>""yes"",""maxspeed""=>""30"",""name:ca""=>""Gran Via de les Corts Catalanes (lateral mar)"",""oneway""=>""yes"",""smoothness""=>""excellent"",""surface""=>""asphalt"",""width""=>""4"",""wikidata""=>""Q263293"",""wikipedia""=>""ca:Gran Via de les Corts Catalanes""",1.0,30.0,yes,,,4,,,asphalt,excellent,yes,,,,,,,,,,,,,,Eixample,2.1615656,41.3841348,eixample_001547,0.0,8.0,0.5322981877542701,0.5322981877542701,0.3066897129480196,26.71,0.4811,"LINESTRING (429849.875329 4581694.283783, 429863.979995 4581707.881512, 429929.885701 4581772.306772, 429932.273288 4581774.493157, 429944.266952 4581786.001903)",0.5,0.2,1.0,0.0,0.75,0.6925
1227367188,Carrer de Casanova,residential,,,,,,3,"""cycleway:both""=>""no"",""lanes""=>""2"",""lit""=>""yes"",""maxspeed""=>""30"",""name:ca""=>""Carrer de Casanova"",""name:etymology:wikidata""=>""Q2749514"",""oneway""=>""yes"",""smoothness""=>""excellent"",""source:maxspeed""=>""ES:urban"",""surface""=>""asphalt""",2.0,30.0,yes,,,,,,asphalt,excellent,yes,,,,,,,no,,,,,,,Eixample,2.1609308,41.3837706,eixample_001548,0.0,8.0,0.0339961196086439,0.0339961196086439,0.6334451674697417,51.93,0.5,"LINESTRING (429849.875329 4581694.283783, 429848.43422 4581695.718904, 429845.134798 4581698.68201, 429843.073043 4581700.789314, 429837.409278 4581706.562139)",0.5,0.2,1.0,0.2,0.75,0.6525
1227777119,Carrer de Tarragona,primary,,,,,,7,"""cycleway:both""=>""separate"",""lanes""=>""3"",""lit""=>""yes"",""maxspeed""=>""50"",""name:ca""=>""Carrer de Tarragona"",""name:etymology:wikidata""=>""Q15088"",""oneway""=>""yes"",""surface""=>""asphalt"",""width""=>""14""",3.0,50.0,yes,,,14,,,asphalt,,yes,,,,,,,separate,,,,,,,Eixample,2.1458054,41.3781592,eixample_001549,0.0,7.0,0.3477882024768918,0.4637176033025224,0.351660587998346,10.55,0.4743,"LINESTRING (428567.454657 4581095.463668, 428578.036655 4581083.890063)",0.5,0.2,0.7126,0.4,0.15,0.465
