osm_id,name,highway,waterway,aerialway,barrier,man_made,railway,z_order,other_tags,lanes,maxspeed,oneway,sidewalk,cycleway,width,service,access,surface,smoothness,lit,bridge,tunnel,layer,ref,junction,oneway:cycleway,cycleway:both,cycleway:left,cycleway:right,foot,motor_vehicle,bicycle,footway,borough,longitude,latitude,location_id,lighting,connectivity,enclosure
314679885,Avinguda Diagonal (lateral muntanya),tertiary,,,,,,4,"""cycleway:left""=>""separate"",""lanes""=>""1"",""lit""=>""yes"",""maxlength""=>""7.5"",""maxspeed""=>""50"",""name:ca""=>""Avinguda Diagonal (lateral muntanya)"",""oneway""=>""yes"",""surface""=>""asphalt"",""wikidata""=>""Q791045"",""wikipedia""=>""ca:Avinguda Diagonal""",1,50,yes,,,,,,asphalt,,yes,,,,,,,,separate,,,,,,Eixample,2.1654997,41.3982233,eixample_004559,,,
314809154,Carrer de Padilla,cycleway,,,,,,0,"""cycle_network""=>""ES:BCN"",""name:ca""=>""Carrer de Padilla"",""oneway""=>""yes"",""surface""=>""asphalt""",,,yes,,,,,,asphalt,,,,,,,,,,,,,,,,Eixample,2.1819395,41.4021176,eixample_004560,,,
315171214,,service,,,,,,0,"""lit""=>""no"",""service""=>""parking_aisle""",,,,,,,parking_aisle,,,,no,,,,,,,,,,,,,,Eixample,2.1765677,41.3947173,eixample_004561,,,
315171547,,service,,,,,,0,"""lit""=>""no"",""service""=>""parking_aisle""",,,,,,,parking_aisle,,,,no,,,,,,,,,,,,,,Eixample,2.1771703,41.3951689,eixample_004562,,,
315268997,,footway,,,,,,0,"""surface""=>""paving_stones"",""tunnel""=>""building_passage""",,,,,,,,,paving_stones,,,,building_passage,,,,,,,,,,,,Eixample,2.1625608,41.3818667,eixample_004563,,,
315272793,Carrer de Tarragona,primary,,,,,,7,"""busway""=>""lane"",""cycleway""=>""no"",""lanes""=>""5"",""lit""=>""yes"",""maxspeed""=>""50"",""name:ca""=>""Carrer de Tarragona"",""oneway""=>""yes"",""psv:lanes""=>""yes|yes|yes|yes|designated"",""surface""=>""asphalt"",""width""=>""20""",5,50,yes,,no,20,,,asphalt,,yes,,,,,,,,,,,,,,Eixample,2.1489108,41.3755713,eixample_004564,,,
315316227,Passatge de Sant Antoni Abat,living_street,,,,,,0,"""maxspeed""=>""20"",""name:ca""=>""Passatge de Sant Antoni Abat"",""name:etymology:wikidata""=>""Q170547"",""oneway""=>""yes""",,20,yes,,,,,,,,,,,,,,,,,,,,,,Eixample,2.1608911,41.3795212,eixample_004565,,,
315739551,,service,,,,,,0,"""lanes""=>""1"",""lit""=>""yes"",""oneway""=>""yes"",""service""=>""parking_aisle"",""surface""=>""asphalt""",1,,yes,,,,parking_aisle,,asphalt,,yes,,,,,,,,,,,,,,Eixample,2.1674127,41.3880843,eixample_004566,,,
315739553,,service,,,,,,0,"""lit""=>""yes"",""oneway""=>""yes"",""service""=>""parking_aisle"",""surface""=>""asphalt""",,,yes,,,,parking_aisle,,asphalt,,yes,,,,,,,,,,,,,,Eixample,2.1680416,41.3876291,eixample_004567,,,
315739555,Passeig de Gràcia,footway,,,,,,0,"""crossing""=>""traffic_signals"",""footway""=>""crossing"",""kerb""=>""lowered"",""lit""=>""yes"",""name:ca""=>""Passeig de Gràcia"",""name:etymology:wikidata""=>""Q2741611"",""surface""=>""asphalt""",,,,,,,,,asphalt,,yes,,,,,,,,,,,,,crossing,Eixample,2.1695981,41.3883752,eixample_004568,,,
315739556,Passeig de Gràcia,footway,,,,,,0,"""crossing""=>""traffic_signals"",""footway""=>""crossing"",""kerb""=>""lowered"",""lit""=>""yes"",""name:ca""=>""Passeig de Gràcia"",""name:etymology:wikidata""=>""Q2741611"",""surface""=>""asphalt""",,,,,,,,,asphalt,,yes,,,,,,,,,,,,,crossing,Eixample,2.1693851,41.3885469,eixample_004569,,,
315739557,Carrer de Casp,footway,,,,,,0,"""crossing""=>""traffic_signals"",""footway""=>""crossing"",""kerb""=>""lowered"",""lit""=>""yes"",""name:ca""=>""Carrer de Casp"",""name:etymology:wikidata""=>""Q64010"",""surface""=>""asphalt""",,,,,,,,,asphalt,,yes,,,,,,,,,,,,,crossing,Eixample,2.1697511,41.388611,eixample_004570,,,
315739558,Passeig de Gràcia,tertiary,,,,,,4,"""lanes""=>""4"",""lanes:backward""=>""3"",""lit""=>""yes"",""maxspeed""=>""50"",""name:ca""=>""Passeig de Gràcia"",""name:etymology:wikidata""=>""Q2741611"",""name:ru""=>""бульвар Грасиа"",""sidewalk""=>""both"",""surface""=>""asphalt"",""wikidata""=>""Q1419892"",""wikipedia""=>""ca:Passeig de Gràcia""",4,50,,both,,,,,asphalt,,yes,,,,,,,,,,,,,,Eixample,2.1697212,41.3882804,eixample_004571,,,
316582572,Gran Via de les Corts Catalanes,primary,,,,,,7,"""bicycle""=>""use_sidepath"",""bus:lanes""=>""yes|yes|yes|designated|designated"",""change:lanes""=>""yes|yes|not_right|not_left|yes"",""lanes""=>""5"",""lit""=>""yes"",""maxspeed""=>""50"",""name:ca""=>""Gran Via de les Corts Catalanes"",""name:etymology:wikidata""=>""Q1902969"",""oneway""=>""yes"",""psv:lanes""=>""yes|yes|yes|designated|no"",""ref""=>""C-31"",""surface""=>""asphalt"",""width""=>""18"",""wikidata""=>""Q263293"",""wikipedia""=>""ca:Gran Via de les Corts Catalanes""",5,50,yes,,,18,,,asphalt,,yes,,,,C-31,,,,,,,,use_sidepath,,Eixample,2.1546143,41.3791584,eixample_004572,,,
316582574,Gran Via de les Corts Catalanes,primary,,,,,,7,"""bus:lanes""=>""yes|yes|yes|designated|designated"",""change:lanes""=>""yes|yes|not_right|not_left|yes"",""lanes""=>""5"",""lit""=>""yes"",""maxspeed""=>""50"",""name:ca""=>""Gran Via de les Corts Catalanes"",""name:etymology:wikidata""=>""Q1902969"",""oneway""=>""yes"",""psv:lanes""=>""yes|yes|yes|designated|no"",""ref""=>""C-31"",""sidewalk""=>""separate"",""surface""=>""asphalt"",""width""=>""12"",""wikidata""=>""Q263293"",""wikipedia""=>""ca:Gran Via de les Corts Catalanes""",5,50,yes,separate,,12,,,asphalt,,yes,,,,C-31,,,,,,,,,,Eixample,2.1555338,41.3798539,eixample_004573,,,
316582576,Gran Via de les Corts Catalanes,primary,,,,,,7,"""bicycle""=>""use_sidepath"",""bus:lanes""=>""yes|yes|yes|designated|designated"",""change:lanes""=>""yes|yes|not_right|not_left|yes"",""lanes""=>""5"",""lit""=>""yes"",""maxspeed""=>""50"",""name:ca""=>""Gran Via de les Corts Catalanes"",""name:etymology:wikidata""=>""Q1902969"",""oneway""=>""yes"",""psv:lanes""=>""yes|yes|yes|designated|no"",""ref""=>""C-31"",""surface""=>""asphalt"",""width""=>""12"",""wikidata""=>""Q263293"",""wikipedia""=>""ca:Gran Via de les Corts Catalanes""",5,50,yes,,,12,,,asphalt,,yes,,,,C-31,,,,,,,,use_sidepath,,Eixample,2.1568925,41.3808566,eixample_004574,,,
316582580,Gran Via de les Corts Catalanes,primary,,,,,,7,"""bicycle""=>""use_sidepath"",""bus:lanes""=>""yes|yes|yes|designated|designated"",""change:lanes""=>""yes|yes|not_right|not_left|yes"",""lanes""=>""5"",""lit""=>""yes"",""maxspeed""=>""50"",""name:ca""=>""Gran Via de les Corts Catalanes"",""name:etymology:wikidata""=>""Q1902969"",""oneway""=>""yes"",""psv:lanes""=>""yes|yes|yes|designated|no"",""ref""=>""C-31"",""surface""=>""asphalt"",""turn:lanes""=>""through;left|through|through|through|through"",""width""=>""12"",""wikidata""=>""Q263293"",""wikipedia""=>""ca:Gran Via de les Corts Catalanes""",5,50,yes,,,12,,,asphalt,,yes,,,,C-31,,,,,,,,use_sidepath,,Eixample,2.1580269,41.3817048,eixample_004575,,,
316789513,Carrer de Girona,footway,,,,,,0,"""bicycle""=>""no"",""crossing""=>""traffic_signals"",""footway""=>""crossing"",""name:ca""=>""Carrer de Girona"",""name:etymology:wikidata""=>""Q7038""",,,,,,,,,,,,,,,,,,,,,,,no,crossing,Eixample,2.1734022,41.3931086,eixample_004576,,,
316789514,Gran Via de les Corts Catalanes,cycleway,,,,,,0,"""crossing""=>""traffic_signals"",""crossing:markings""=>""dots"",""crossing:signals""=>""yes"",""cycleway""=>""crossing"",""lit""=>""yes"",""name:ca""=>""Gran Via de les Corts Catalanes"",""name:etymology:wikidata""=>""Q1902969"",""oneway""=>""yes"",""source:width""=>""ARCore"",""surface""=>""asphalt"",""width""=>""1.9""",,,yes,,crossing,1.9,,,asphalt,,yes,,,,,,,,,,,,,,Eixample,2.1685543,41.3896326,eixample_004577,,,
316789515,Gran Via de les Corts Catalanes,footway,,,,,,0,"""footway""=>""sidewalk"",""lit""=>""yes"",""name:ca""=>""Gran Via de les Corts Catalanes"",""name:etymology:wikidata""=>""Q1902969"",""surface""=>""asphalt""",,,,,,,,,asphalt,,yes,,,,,,,,,,,,,sidewalk,Eixample,2.1693624,41.3899433,eixample_004578,,,
316789516,Gran Via de les Corts Catalanes,footway,,,,,,0,"""bicycle""=>""permissive"",""crossing""=>""traffic_signals"",""crossing:markings""=>""dots"",""crossing:signals""=>""yes"",""footway""=>""crossing"",""kerb""=>""lowered"",""lit""=>""yes"",""name:ca""=>""Gran Via de les Corts Catalanes"",""name:etymology:wikidata""=>""Q1902969"",""surface""=>""asphalt""",,,,,,,,,asphalt,,yes,,,,,,,,,,,,permissive,crossing,Eixample,2.1680496,41.3891585,eixample_004579,,,
316789517,Gran Via de les Corts Catalanes,footway,,,,,,0,"""bicycle""=>""permissive"",""crossing""=>""traffic_signals"",""footway""=>""crossing"",""kerb""=>""lowered"",""lit""=>""yes"",""name:ca""=>""Gran Via de les Corts Catalanes"",""name:etymology:wikidata""=>""Q1902969"",""surface""=>""asphalt""",,,,,,,,,asphalt,,yes,,,,,,,,,,,,permissive,crossing,Eixample,2.1678562,41.3893215,eixample_004580,,,
316789518,Gran Via de les Corts Catalanes (lateral muntanya),service,,,,,,0,"""lanes""=>""1"",""lit""=>""yes"",""maxspeed""=>""50"",""motor_vehicle""=>""destination"",""name:ca""=>""Gran Via de les Corts Catalanes (lateral muntanya)"",""name:ru""=>""бульвар Грасиа"",""oneway""=>""yes"",""psv""=>""designated"",""surface""=>""asphalt"",""wikidata""=>""Q263293"",""wikipedia""=>""ca:Gran Via de les Corts Catalanes""",1,50,yes,,,,,,asphalt,,yes,,,,,,,,,,,destination,,,Eixample,2.1681242,41.3895603,eixample_004581,,,
316789519,Gran Via de les Corts Catalanes,footway,,,,,,0,"""footway""=>""sidewalk"",""lit""=>""yes"",""name:ca""=>""Gran Via de les Corts Catalanes"",""name:etymology:wikidata""=>""Q1902969"",""surface""=>""asphalt""",,,,,,,,,asphalt,,yes,,,,,,,,,,,,,sidewalk,Eixample,2.1689729,41.3902434,eixample_004582,,,
316789520,Gran Via de les Corts Catalanes,footway,,,,,,0,"""bicycle""=>""permissive"",""crossing""=>""traffic_signals"",""crossing:markings""=>""dots"",""crossing:signals""=>""yes"",""footway""=>""crossing"",""kerb""=>""lowered"",""lit""=>""yes"",""name:ca""=>""Gran Via de les Corts Catalanes"",""name:etymology:wikidata""=>""Q1902969"",""surface""=>""asphalt""",,,,,,,,,asphalt,,yes,,,,,,,,,,,,permissive,crossing,Eixample,2.1673931,41.3885465,eixample_004583,,,
316789521,Gran Via de les Corts Catalanes,footway,,,,,,0,"""crossing""=>""traffic_signals"",""footway""=>""crossing"",""kerb""=>""lowered"",""lit""=>""yes"",""name:ca""=>""Gran Via de les Corts Catalanes"",""name:etymology:wikidata""=>""Q1902969"",""smoothness""=>""excellent"",""surface""=>""concrete:plates""",,,,,,,,,concrete:plates,excellent,yes,,,,,,,,,,,,,crossing,Eixample,2.1671958,41.388684,eixample_004584,,,
316789522,Gran Via de les Corts Catalanes,footway,,,,,,0,"""bicycle""=>""no"",""footway""=>""sidewalk"",""lit""=>""yes"",""name:ca""=>""Gran Via de les Corts Catalanes"",""name:etymology:wikidata""=>""Q1902969"",""surface""=>""asphalt""",,,,,,,,,asphalt,,yes,,,,,,,,,,,,no,sidewalk,Eixample,2.1660711,41.3879315,eixample_004585,,,
316789523,Gran Via de les Corts Catalanes,footway,,,,,,0,"""bicycle""=>""permissive"",""crossing""=>""traffic_signals"",""crossing:markings""=>""dots"",""crossing:signals""=>""yes"",""footway""=>""crossing"",""kerb""=>""lowered"",""lit""=>""yes"",""name:ca""=>""Gran Via de les Corts Catalanes"",""name:etymology:wikidata""=>""Q1902969"",""surface""=>""asphalt""",,,,,,,,,asphalt,,yes,,,,,,,,,,,,permissive,crossing,Eixample,2.1667621,41.3882696,eixample_004586,,,
316789524,Gran Via de les Corts Catalanes,primary,,,,,,7,"""cycleway:right""=>""no"",""lanes""=>""2"",""lit""=>""yes"",""maxspeed""=>""50"",""name:ca""=>""Gran Via de les Corts Catalanes"",""name:etymology:wikidata""=>""Q1902969"",""oneway""=>""yes"",""ref""=>""C-31"",""smoothness""=>""good"",""surface""=>""asphalt"",""wikidata""=>""Q263293"",""wikipedia""=>""ca:Gran Via de les Corts Catalanes""",2,50,yes,,,,,,asphalt,good,yes,,,,C-31,,,,,no,,,,,Eixample,2.1675287,41.3890209,eixample_004587,,,
317400734,,service,,,,,,0,"""oneway""=>""yes"",""service""=>""parking_aisle"",""smoothness""=>""excellent"",""surface""=>""asphalt""",,,yes,,,,parking_aisle,,asphalt,excellent,,,,,,,,,,,,,,,Eixample,2.1610242,41.3954695,eixample_004588,,,
317400735,,service,,,,,,0,"""oneway""=>""yes"",""smoothness""=>""excellent"",""surface""=>""asphalt""",,,yes,,,,,,asphalt,excellent,,,,,,,,,,,,,,,Eixample,2.1644802,41.3926817,eixample_004589,,,
317400736,,service,,,,,,0,"""oneway""=>""yes"",""service""=>""parking_aisle"",""smoothness""=>""excellent"",""surface""=>""asphalt""",,,yes,,,,parking_aisle,,asphalt,excellent,,,,,,,,,,,,,,,Eixample,2.1665341,41.3910348,eixample_004590,,,
317400737,,service,,,,,,0,"""oneway""=>""yes"",""smoothness""=>""excellent"",""surface""=>""asphalt""",,,yes,,,,,,asphalt,excellent,,,,,,,,,,,,,,,Eixample,2.1632086,41.3936989,eixample_004591,,,
317400738,,service,,,,,,0,"""oneway""=>""yes"",""service""=>""parking_aisle"",""smoothness""=>""excellent"",""surface""=>""asphalt""",,,yes,,,,parking_aisle,,asphalt,excellent,,,,,,,,,,,,,,,Eixample,2.1622922,41.3944404,eixample_004592,,,
317400739,,service,,,,,,0,"""oneway""=>""yes"",""service""=>""parking_aisle"",""surface""=>""asphalt""",,,yes,,,,parking_aisle,,asphalt,,,,,,,,,,,,,,,,Eixample,2.1669735,41.3906824,eixample_004593,,,
