borough,lighting,lighting_norm,visibility,visibility_norm,connectivity,connectivity_norm,enclosure,enclosure_norm,public_transport_proximity_m,public_transport_proximity_m_norm,dominant_land_use_score,dominant_land_use_score_norm,pedestrian_priority_score,pedestrian_priority_score_norm,risk_score,location_id,risk_class,cluster_id,pc1_score
"London Borough of Southwark, London, UK",0.0,0.0,0.6817,0.5774030801911842,6,0.2142857142857142,0.4429204181110649,0.3898897389483026,116.15,0.2139462637992566,0.3031,0.3031,0.4925,0.3949044585987261,0.4054249571383387,SOU_15931_-26921,medium,0,-1.1324484468682015
"London Borough of Southwark, London, UK",0.0,0.0,0.6342,0.5143388210302708,9,0.4285714285714285,0.2686973494437322,0.2365263265069162,112.7,0.2075667079642745,0.3632,0.3632,0.5925,0.6496815286624205,0.3804366861318917,SOU_15926_-26920,medium,0,-0.4165849940768224
"London Borough of Southwark, London, UK",0.0,0.0,0.6817,0.5774030801911842,6,0.2142857142857142,0.4429204181110649,0.3898897389483026,116.15,0.2139462637992566,0.3031,0.3031,0.4925,0.3949044585987261,0.4054249571383387,SOU_15931_-26921,medium,0,-1.1324484468682015
"London Borough of Southwark, London, UK",0.0,0.0,0.6157,0.4897769516728624,11,0.5714285714285714,0.3372074561676892,0.2968337463812149,156.94,0.2893729543815529,0.7319,0.7319,0.6075,0.6878980891719746,0.4513323022195332,SOU_16172_-26996,high,1,-1.3791676281487668
"London Borough of Southwark, London, UK",0.0,0.0,0.6694,0.5610727562400425,7,0.2857142857142857,0.2739409925316946,0.241142150368509,76.94,0.1414412248747203,0.4242,0.4242,0.4975,0.4076433121019108,0.3811057138601692,SOU_16177_-27018,medium,0,-0.839109621164941
"London Borough of Southwark, London, UK",24.756634656455383,0.1515182577300487,0.678,0.5724907063197027,14,0.7857142857142857,0.2875362957534949,0.2531096935372721,24.52,0.0445089591153682,0.469,0.469,0.53,0.4904458598726115,0.3562962132986082,SOU_16219_-27014,medium,0,-0.8401963434078625
"London Borough of Southwark, London, UK",6.346339223153695,0.038841558046961,0.7214,0.6301115241635689,12,0.6428571428571429,0.3722332157511824,0.3276658862015332,71.96,0.13223247471292,0.4793,0.4793,0.53,0.4904458598726115,0.3957503639267835,SOU_16224_-27013,medium,0,-0.7601675643712914
"London Borough of Southwark, London, UK",2.0701484483947845,0.0126699485005144,0.6649,0.5550982474774296,12,0.6428571428571429,0.4088165344330393,0.3598690992111332,99.98,0.1840455629726881,0.4497,0.4497,0.4775,0.3566878980891719,0.4465154057421139,SOU_16226_-27021,high,1,-1.169297076667506
"London Borough of Southwark, London, UK",0.0,0.0,0.7237,0.6331651619755709,10,0.5,0.2875793024634444,0.2531475510715595,103.46,0.1904805932062353,0.301,0.301,0.5025,0.4203821656050954,0.3885429043666167,SOU_16298_-27083,medium,0,-0.05639018923148839
"London Borough of Southwark, London, UK",1.7478821645468046,0.0106975792131949,0.6641,0.5540361125862985,10,0.5,0.3451477344854571,0.3038233384476504,87.56,0.1610791619667523,0.4194,0.4194,0.5025,0.4203821656050954,0.4099881625365559,SOU_16298_-27085,medium,0,-0.9349269327286801
