osmid,lighting,visibility,connectivity,enclosure,dominant_land_use_score,public_transport_proximity_m,dist_to_rail_m,dist_to_bus_m,lighting_norm,visibility_norm,connectivity_norm,enclosure_norm,dominant_land_use_score_norm,public_transport_proximity_m_norm,risk_class,risk_probability
553234916,0,0.5789,6,0.08744051185867913,0.5,105.24,105.49,105.24,0.0,0.5371001429042541,0.3333333333333333,0.13362969788889414,0.5,0.39910467013164386,high,0.9209
"[18504649, 4785511]",0,0.3082,4,0.5005715529669966,0.1584,148.71,151.15,148.71,0.0,0.23952951522479937,0.1111111111111111,0.7649912377327293,0.1584,0.5640198793580942,high,1.0
18504649,0,0.3275,6,0.523840135857005,0.1111,88.64,90.44,88.64,0.0,0.2607453006485655,0.3333333333333333,0.8005511130788372,0.1111,0.3361280776964225,high,1.0
62213293,0,0.6226,8,0.23167988389644245,0.2021,193.36,202.19,193.36,0.0,0.5851379575684291,0.5555555555555556,0.3540614325548774,0.2021,0.7334117379263251,high,1.0
1446567439,0,0.5252,6,0.37501919326952177,0.2219,207.8,207.81,207.8,0.0,0.4780696933054854,0.3333333333333333,0.5731176594681477,0.2219,0.7881937858037105,high,1.0
12372760,0,0.3416,3,0.6234192617138404,0.3092,77.13,188.76,77.13,0.0,0.2762449159063428,0.0,0.9527314722903129,0.3092,0.2924617777609166,high,1.0
"[4809711, 305108017, 305108027, 4809719]",0,0.3304,6,0.2492962835239033,0.0469,101.53,107.88,101.53,0.0,0.2639331647795977,0.3333333333333333,0.38098344055858463,0.0469,0.38502978109943475,high,1.0
10428122,0,0.4342,9,0.4023360075458647,0.0528,111.92,112.14,111.92,0.0,0.37803671540068157,0.6666666666666666,0.6148641858944156,0.0528,0.4244470579308775,high,1.0
305108027,0,0.3896,8,0.3761852584464559,0.0,74.04,76.95,74.04,0.0,0.32900956359239314,0.5555555555555556,0.5748996817139038,0.0,0.2807390265184567,high,1.0
1426923360,0,0.4263,8,0.3041059058613043,0.0,105.83,105.83,106.77,0.0,0.36935253380235245,0.5555555555555556,0.46474545336780293,0.0,0.40134299480253427,high,1.0
246630090,0,0.4848,6,0.26715455370053914,0.6612,5.54,5.54,5.9,0.0,0.43365944816972635,0.3333333333333333,0.40827508373170535,0.6612,0.020865738457452866,medium,0.9923
246630090,0,0.3069,6,0.5263926171015775,0.0,130.84,130.84,132.96,0.0,0.23810047268330223,0.3333333333333333,0.8044519056328716,0.0,0.49622519822451544,high,1.0
4813536,0,0.5426,6,0.36440664884031815,0.2148,121.3,123.74,121.3,0.0,0.49719687809167856,0.3333333333333333,0.5568991918978875,0.2148,0.4600326264274062,high,1.0
208855944,0,0.654,8,0.23273587906496482,0.2997,137.74,142.43,137.74,0.0,0.6196548312630538,0.5555555555555556,0.35567524190185196,0.2997,0.5224022155620472,high,0.9999
"[68506242, 1214315734]",0,0.7035,4,0.07932527374140824,0.2439,84.94,220.2,84.94,0.0,0.6740683741892932,0.1111111111111111,0.12122770257967172,0.2439,0.32209112637049964,high,1.0
86772180,0,0.4452,6,0.39111749517535704,0.4924,174.68,178.8,174.68,0.0,0.39012861382873476,0.3333333333333333,0.5977196565799413,0.4924,0.6625441025835579,high,1.0
"[881656434, 237649291, 885509902]",0,0.8094,6,0.03774672709765133,0.0224,17.48,17.48,17.65,0.0,0.7904803781466417,0.3333333333333333,0.05768588988255126,0.0224,0.06616335976326872,medium,0.9983
295215807,0,1.0,11,0.0,,52.48,52.48,53.79,0.0,1.0,0.8888888888888888,0.0,0.2257,0.19894533176524148,low,1.0
"[1427229761, 1427229762, 1427229770, 295215796, 1122460245]",0,0.8449,8,0.019111261339979785,0.5,14.92,14.92,18.04,0.0,0.8295042321644498,0.5555555555555556,0.029206508800688293,0.5,0.056451306953981574,low,1.0
"[295215808, 1122460246]",0,0.6217,11,0.1092831209912136,0.3684,71.17,71.17,75.73,0.0,0.5841486204243157,0.8888888888888888,0.16701034945922305,0.3684,0.2698509048142949,low,1.0
11297310,0,0.7442,9,0.10106837006076554,0.236,45.22,45.22,47.73,0.0,0.71880839837309,0.6666666666666666,0.154456275132183,0.236,0.17140255700140372,low,1.0
86772180,0,0.6412,6,0.18953116607184314,0.5,68.26,70.25,68.26,0.0,0.6055842585467737,0.3333333333333333,0.28964826399510984,0.5,0.2588110322849881,medium,0.503
"[1221715066, 18596059]",0,0.8015,7,1.4120299399198712e-05,0.4605,8.14,8.14,32.23,0.0,0.7817961965483126,0.4444444444444444,2.157914338224873e-05,0.4605,0.030729542091885133,low,1.0
"[1446575233, 246638756, 1522867686, 1433174504, 1335771615]",0,0.5544,8,0.2636007753918904,0.6905,166.85,166.85,169.11,0.0,0.5101681873144993,0.5555555555555556,0.4028440734179008,0.6905,0.6328388785614022,high,1.0
"[12372966, 1426923359]",0,0.4692,8,0.35823787261118933,0.3884,126.9,126.98,126.9,0.0,0.41651093767175995,0.5555555555555556,0.547471848824062,0.3884,0.4812777419477219,high,1.0
185957649,0,0.742,8,0.033291100375801914,0.3362,19.72,29.48,19.72,0.0,0.7163900186874793,0.5555555555555556,0.0508766427716845,0.3362,0.07466140597139498,low,1.0
