osmid,lighting,visibility,connectivity,enclosure,dominant_land_use_score,public_transport_proximity_m,dist_to_rail_m,dist_to_bus_m,lighting_norm,visibility_norm,connectivity_norm,enclosure_norm,dominant_land_use_score_norm,public_transport_proximity_m_norm,risk_class,risk_probability
67499560,0,0.9902,11,0.0001410497382108173,0.5,199.59,200.34,199.59,0.0,0.987134042273861,0.4666666666666667,0.000188919255900112,0.4998499549864959,0.4711247637051039,low,1.0
107088314,0,0.8343,10,0.07182818499525982,0.5,64.22,64.22,64.22,0.0,0.7824602862019169,0.4,0.09788492981553198,0.4998499549864959,0.1512523629489603,low,0.9999
11103450,0,0.9539,11,0.011237383797724513,0.5,178.12,179.35,178.12,0.0,0.9394774845739792,0.4666666666666667,0.0153111244544243,0.4998499549864959,0.42039224952741017,low,1.0
107088316,0,0.8714,9,0.0090158956666569,0.5,88.01,94.31,88.01,0.0,0.8311671261651569,0.3333333333333333,0.012283656176710721,0.4998499549864959,0.20746691871455578,low,0.9997
386095891,5,1.0,7,0.08030913671285907,0.5,35.67,35.67,39.92,0.03571428571428571,1.0,0.2,0.10944286340553176,0.4998499549864959,0.08379017013232513,low,0.9999
67498505,7,0.8129,8,0.08030913671285907,0.5,0.21,0.21,9.44,0.05,0.7543652356570828,0.26666666666666666,0.10944286340553176,0.4998499549864959,0.0,low,0.9998
67498495,20,0.8418,8,0.1459532691322881,0.5,53.69,53.69,58.72,0.14285714285714285,0.7923066824209005,0.26666666666666666,0.1989034037246653,0.4998499549864959,0.12637051039697542,medium,0.8143
551621831,0,0.5926,8,0.42195181585791036,0.2147,86.32,86.32,86.8,0.0,0.46514375738479713,0.26666666666666666,0.575037236366528,0.21446433930179054,0.20347353497164458,high,1.0
67498505,4,0.8147,7,0.09048549973415945,0.5,76.65,76.65,79.65,0.02857142857142857,0.756728370749639,0.2,0.12331132202956153,0.4998499549864959,0.18062381852551987,medium,1.0
230989052,3,0.6721,8,0.1773954147111197,0.5,40.57,42.26,40.57,0.02142857142857143,0.569515557306026,0.26666666666666666,0.24175310298343108,0.4998499549864959,0.09536862003780718,medium,0.9997
655440028,6,0.8025,9,0.01656255559671324,0.5,119.91,120.03,119.91,0.04285714285714286,0.7407115662334253,0.3333333333333333,0.022568326718685524,0.4998499549864959,0.2828449905482041,medium,0.8917
8029363,11,0.5748,7,0.181785369876766,0.5,146.74,147.34,146.74,0.07857142857142857,0.4417749770250754,0.2,0.24773578180971492,0.4998499549864959,0.34624291115311906,high,1.0
8014182,44,0.6972,7,0.1502318328609258,0.5,163.32,163.32,167.47,0.3142857142857143,0.602468163318892,0.2,0.20473427708449798,0.4998499549864959,0.38542060491493374,medium,0.7807
71270647,15,0.9018,7,0.13500876527174033,0.5,133.08,133.08,138.22,0.10714285714285714,0.8710778521727713,0.2,0.1839881143788706,0.4998499549864959,0.3139650283553875,medium,1.0
45756888,0,1.0,7,0.1459532691322881,0.5,45.84,45.84,46.46,0.0,1.0,0.2,0.1989034037246653,0.4998499549864959,0.10782136105860113,medium,0.9388
"[386095888, 386095890]",0,0.9419,6,0.0090158956666569,0.5,83.83,89.47,83.83,0.0,0.923723250623605,0.13333333333333333,0.012283656176710721,0.4998499549864959,0.1975897920604915,medium,0.9981
386095887,0,1.0,8,0.01123738379772451,0.5,162.39,168.83,162.39,0.0,1.0,0.26666666666666666,0.015311124454424294,0.4998499549864959,0.38322306238185244,medium,0.9673
71270644,0,1.0,8,0.0001410497382108173,0.5,184.27,184.27,185.6,0.0,1.0,0.26666666666666666,0.000188919255900112,0.4998499549864959,0.4349243856332703,medium,0.9985
67498724,5,0.7225,10,0.09090936805447254,0.5,23.19,23.19,59.2,0.03571428571428571,0.6356833398975975,0.4,0.12388897440398988,0.4998499549864959,0.05430056710775047,low,0.9998
8816858,10,0.4989,10,0.17055879367992638,0.5,59.11,59.11,69.06,0.07142857142857142,0.3421294472889589,0.4,0.232436081204548,0.4998499549864959,0.1391776937618147,medium,0.9997
15219043,7,0.4716,9,0.45370687586915914,0.4784,73.2,73.2,78.43,0.05,0.3062885650518577,0.3333333333333333,0.6183133788299786,0.4782434730419125,0.17247164461247638,high,1.0
8816858,10,0.4989,10,0.17055879367992638,0.5,59.11,59.11,69.06,0.07142857142857142,0.3421294472889589,0.4,0.232436081204548,0.4998499549864959,0.1391776937618147,medium,0.9997
1287001472,8,0.5084,10,0.1908900333976543,0.4163,11.19,11.19,15.52,0.05714285714285714,0.35460154916633835,0.4,0.26014371665449776,0.41612483745123535,0.025945179584120976,medium,1.0
8028969,4,0.518,8,0.4057740321177748,0.5,32.02,32.02,40.03,0.02857142857142857,0.36720493632663775,0.26666666666666666,0.552989976067445,0.4998499549864959,0.07516540642722117,high,1.0
1436555097,0,0.5379,10,0.17701353477723242,0.3109,33.14,33.14,33.49,0.0,0.39333070762767497,0.4,0.24123267284042443,0.3106932079623887,0.07781190926275991,medium,0.9855
1287001472,8,0.5084,10,0.1908900333976543,0.4163,11.19,11.19,15.52,0.05714285714285714,0.35460154916633835,0.4,0.26014371665449776,0.41612483745123535,0.025945179584120976,medium,1.0
11103675,3,0.4888,8,0.47658486180851195,0.3487,86.25,87.41,86.25,0.02142857142857143,0.32886963371406064,0.26666666666666666,0.6494917478343998,0.3485045513654096,0.20330812854442343,high,1.0
1436555094,7,0.4871,9,0.1645770216622576,0.4257,8.29,8.29,22.28,0.05,0.3266377839044243,0.3333333333333333,0.22428405699395554,0.42552765829748923,0.01909262759924385,medium,0.9987
"[1436555096, 1436555098, 1436555095]",13,0.4651,10,0.21136510532527425,0.352,58.13,58.13,60.47,0.09285714285714286,0.2977550216620717,0.4,0.2880473682103505,0.3518055416624987,0.13686200378071833,high,0.8772
31784949,0,0.9813,8,0.16457702166225754,0.5,57.37,57.37,62.26,0.0,0.975449652094,0.26666666666666666,0.22428405699395546,0.4998499549864959,0.13506616257088844,medium,0.8464
31784953,1,1.0,8,0.16457702166225754,0.5,58.22,58.22,74.18,0.007142857142857143,1.0,0.26666666666666666,0.22428405699395546,0.4998499549864959,0.13707466918714553,low,0.5294
44804321,0,1.0,6,0.0452519427670242,0.4874,42.07,42.07,86.51,0.0,1.0,0.13333333333333333,0.06166653676557762,0.48724617385215563,0.09891304347826085,low,0.8985
"[243238208, 4487908, 62695113, 77091189, 43682134]",10,0.8866,6,0.09669908307852827,0.299,21.61,27.49,21.61,0.07142857142857142,0.8511224891689643,0.13333333333333333,0.131779261246939,0.2987896368910673,0.05056710775047258,medium,1.0
"[43682128, 136091482]",0,0.9835,6,0.0452519427670242,0.4874,42.26,42.26,60.8,0.0,0.9783379283182356,0.13333333333333333,0.06166653676557762,0.48724617385215563,0.09936200378071831,low,0.6843
43682140,4,0.9466,7,0.031429513432772886,0.4874,35.75,35.75,64.4,0.02857142857142857,0.9298936589208349,0.2,0.04282917916498921,0.48724617385215563,0.08397920604914932,low,0.9999
31784952,1,1.0,8,0.031429513432772886,0.4874,33.37,33.37,38.72,0.007142857142857143,1.0,0.26666666666666666,0.04282917916498921,0.48724617385215563,0.07835538752362947,low,1.0
31784951,1,0.7959,8,0.031429513432772886,0.4874,32.48,32.48,50.09,0.007142857142857143,0.7320467375607195,0.26666666666666666,0.04282917916498921,0.48724617385215563,0.07625236294896029,low,0.967
31784948,3,1.0,8,0.04765658553520691,0.0825,8.8,8.8,59.67,0.02142857142857143,1.0,0.26666666666666666,0.06494361018230926,0.08222466740022007,0.02029773156899811,low,0.999
