risk_probability,risk_class,osmid,shap_Lighting_high,shap_Visibility_high,shap_Connectivity_high,shap_Enclosure_high,shap_Land Use_high,shap_Transit Proximity_high,shap_Lighting_low,shap_Visibility_low,shap_Connectivity_low,shap_Enclosure_low,shap_Land Use_low,shap_Transit Proximity_low,shap_Lighting_medium,shap_Visibility_medium,shap_Connectivity_medium,shap_Enclosure_medium,shap_Land Use_medium,shap_Transit Proximity_medium
1.0,high,"[1256612368, 1256612364]",0.0047119959393968625,0.0,-0.06975151199146584,0.0,0.0,0.3553743442630215,-2.830556969368736e-13,0.0,-0.004135028696727598,0.0,0.0,-0.004135050066843133,-0.0047119959391137,0.0,0.07388654068819328,0.0,0.0,-0.3512392941961791
1.0,high,6570833,0.004669883800840574,0.0,0.14946201798934822,0.0,0.0,0.13620292592798494,-1.8874485308018052e-13,0.0,-0.004135041316671838,0.0,0.0,-0.004135037446993204,-0.004669883800651878,0.0,-0.14532697667267674,0.0,0.0,-0.13206788848099182
1.0,medium,6570833,0.00460478752440574,0.0,-0.7682661528945043,0.0,0.0,0.05399639079647639,-0.0024403604832040566,0.0,0.19203612425345473,0.0,0.0,-0.19786554042567078,-0.002164427041201608,0.0,0.5762300286410497,0.0,0.0,0.14386914962919553
0.9565,high,26372299,0.006352702735299476,0.0,-0.253781255929033,0.0,0.0,0.4942896726531761,-3.577672489868747e-07,0.0,0.010881584586500462,0.0,0.0,-0.019151305583105262,-0.006352344968050538,0.0,0.24289967134253268,0.0,0.0,-0.4751383670700697
0.9987,medium,26372299,0.004799932150947095,0.0,-0.6501048492734958,0.0,0.0,-0.06308799124291277,-3.789345990436524e-07,0.0,0.010881475528800437,0.0,0.0,-0.01915117535175233,-0.00479955321634816,0.0,0.6392233737446953,0.0,0.0,0.0822391665946646
0.999,medium,6010083,0.004798857163654469,0.0,-0.6478610852280664,0.0,0.0,-0.06560417346296299,-3.862956365740383e-07,0.0,0.010881437604500685,0.0,0.0,-0.019151130064220877,-0.004798470868017879,0.0,0.6369796476235663,0.0,0.0,0.08475530352718422
0.9713,medium,6010068,0.0047624570516233145,0.0,-0.660925134316968,0.0,0.0,-0.024791492993626013,-3.5820738693943463e-07,0.0,0.010881582318791811,0.0,0.0,-0.01915130287513117,-0.004762098844236409,0.0,0.650043551998176,0.0,0.0,0.04394279586875687
1.0,medium,6570833,0.00460478752440574,0.0,-0.7682661528945043,0.0,0.0,0.05399639079647639,-0.0024403604832040566,0.0,0.19203612425345473,0.0,0.0,-0.19786554042567078,-0.002164427041201608,0.0,0.5762300286410497,0.0,0.0,0.14386914962919553
1.0,medium,404097027,0.003485386298212212,0.0,-0.7991335123158123,0.0,0.0,0.08598841810855759,-0.0016801253630162388,0.0,0.1916558596491187,0.0,0.0,-0.19824580800060607,-0.0018052609351958682,0.0,0.6074776526666938,0.0,0.0,0.11225738989204792
1.0,medium,2418096,0.004711983493400823,0.0,-0.19782466927810988,0.0,0.0,-0.5165511908141196,-0.00015396724087388385,0.0,-0.01501824705188023,0.0,0.0,0.0069021671035170325,-0.0045580162525269,0.0,0.21284291632998933,0.0,0.0,0.5096490237106016
0.9787,medium,6570883,0.003141448393794821,0.0,-0.38287620198166133,0.0,0.0,-0.32993041812600865,-0.003272134341484133,0.0,0.016977372868945764,0.0,0.0,-0.000683997932475709,0.00013068594768946007,0.0,0.3658988291127166,0.0,0.0,0.3306144160584848
1.0,medium,1082517336,0.0047119807313057704,0.0,-0.19226796358220405,0.0,0.0,-0.5221084461746998,-0.0002964272590443512,0.0,-0.019694811763257356,0.0,0.0,0.011721222889056847,-0.0044155534722612605,0.0,0.21196277534546118,0.0,0.0,0.5103872232856427
0.779,high,534024692,0.0057695590446260325,0.0,0.31487441028073615,0.0,0.0,-0.2513365523362091,-2.4519548627683838e-06,0.0,-0.009441038589321882,0.0,0.0,0.0011734117803309497,-0.00576710708976326,0.0,-0.3054333716914154,0.0,0.0,0.25016314055587735
0.8964,high,26374061,0.006160655525089209,0.0,0.36519987285759753,0.0,0.0,-0.18466426352774834,-8.123111978337698e-07,0.0,-0.009236048958823143,0.0,0.0,0.0009667825061672034,-0.0061598432138915,0.0,-0.3559638238987745,0.0,0.0,0.18369748102158115
0.8484,high,"[1242256465, 146590618, 1068477991]",0.006000840492367349,0.0,0.34472791600835895,0.0,0.0,-0.21201269323492336,-1.3883969160891421e-06,0.0,-0.009308326425436973,0.0,0.0,0.00103963605849931,-0.005999452095451274,0.0,-0.33541958958292195,0.0,0.0,0.2109730571764246
1.0,high,2425502,0.004711977017800517,0.0,-0.07338699749157496,0.0,0.0,0.3590098487373888,-2.830556969368736e-13,0.0,-0.004135028696727577,0.0,0.0,-0.004135050066843153,-0.00471197701751741,0.0,0.0775220261883025,0.0,0.0,-0.35487479867054555
1.0,high,99961288,0.004644764880057023,0.0,-0.016306832528177273,0.0,0.0,0.3019968959117348,-1.8874788884626348e-13,0.0,-0.0041350393763463405,0.0,0.0,-0.004135039387318698,-0.004644764879868202,0.0,0.02044187190452356,0.0,0.0,-0.2978618565244158
1.0,high,1462354003,0.00314144214639539,0.0,-0.23786898714383634,0.0,0.0,0.5250623732511515,-3.5776712120887816e-07,0.0,0.010881584587158974,0.0,0.0,-0.01915130558389155,-0.003141084379274045,0.0,0.2269874025566768,0.0,0.0,-0.5059110676672609
0.9994,medium,534024688,0.004715051986742186,0.0,-0.25901480704586705,0.0,0.0,-0.45475041432582086,-8.016578521190601e-08,0.0,-0.009116622325474938,0.0,0.0,0.0008466237433304301,-0.004714971820956898,0.0,0.26813142937134155,0.0,0.0,0.4539037905824901
0.9987,medium,534087835,0.004649118469395391,0.0,-0.15046718973349388,0.0,0.0,-0.5625423829890253,-2.066165203492773e-05,0.0,-0.01163820292290194,0.0,0.0,0.0033887858174743058,-0.004628456817360446,0.0,0.16210539265639548,0.0,0.0,0.5591535971715493
0.9997,medium,1026759085,0.004713701914204699,0.0,-0.2544785180458103,0.0,0.0,-0.4595553715218524,-1.6344629233085509e-07,0.0,-0.00913112398991043,0.0,0.0,0.0008612087048251835,-0.004713538467912379,0.0,0.2636096420357213,0.0,0.0,0.45869416281702863
1.0,high,2481098,0.003834067067662511,0.0,0.345542269828093,0.0,0.0,-0.05904152192318049,-4.744802641065693e-12,0.0,-0.004322999370018784,0.0,0.0,-0.0039470793890901985,-0.003834067062917751,0.0,-0.3412192704580746,0.0,0.0,0.06298860131227049
0.9813,high,197881958,0.008079428066368938,0.0,0.23136526952299885,0.0,0.0,0.032193197110089194,-4.4850854367256554e-11,0.0,-0.0055184095586067235,0.0,0.0,-0.0027516691603962093,-0.008079428021518148,0.0,-0.22584685996439285,0.0,0.0,-0.02944152794969341
0.9987,medium,534087835,0.004649118469395391,0.0,-0.15046718973349388,0.0,0.0,-0.5625423829890253,-2.066165203492773e-05,0.0,-0.01163820292290194,0.0,0.0,0.0033887858174743058,-0.004628456817360446,0.0,0.16210539265639548,0.0,0.0,0.5591535971715493
1.0,medium,372683468,-0.07187569865111065,0.0,-0.09726872151018287,0.0,0.0,-0.5405204369413454,0.020580027367427783,0.0,-0.07188475983692941,0.0,0.0,0.04303484130962305,0.05129567128368186,0.0,0.16915348134711192,0.0,0.0,0.4974855956317217
0.8821,medium,"[1247523499, 534087836]",0.005038334454129156,0.0,-0.1374725158976393,0.0,0.0,-0.45929919220736454,-6.995275132412604e-08,0.0,-0.00913546966302276,0.0,0.0,0.0008654608519391726,-0.005038264501377815,0.0,0.14660798556066157,0.0,0.0,0.4584337313554249
1.0,high,2558883,0.0033712235870700102,0.0,0.39532477508261515,0.0,0.0,-0.10836117052968999,-2.852800331035188e-11,0.0,-0.005112374368504175,0.0,0.0,-0.003157704366821607,-0.003371223558541983,0.0,-0.39021240071411084,0.0,0.0,0.11151887489651033
0.9999,high,"[14351505, 311561497]",0.009043380614024876,0.0,-0.014359113538204293,0.0,0.0,0.29556035079041854,-2.831363615785065e-13,0.0,-0.0041350300222647495,0.0,0.0,-0.0041350487413059,-0.009043380613741617,0.0,0.01849414356047014,0.0,0.0,-0.291425302049111
0.9836,high,14351505,0.009625834892531687,0.0,0.016779380858521376,0.0,0.0,0.2475353680369849,-3.4043471167088946e-13,0.0,-0.004135849113763556,0.0,0.0,-0.004134229649749794,-0.009625834892191265,0.0,-0.012643531744758317,0.0,0.0,-0.24340113838723623
0.9997,high,19742811,0.009467699602477647,0.0,-0.00978135146651632,0.0,0.0,0.29037604655115096,-2.83399605865986e-13,0.0,-0.004135033869276491,0.0,0.0,-0.004135044894293895,-0.009467699602194096,0.0,0.013916385335793188,0.0,0.0,-0.286241001656856
1.0,high,30085473,0.004646215179426816,0.0,-0.011164556404595072,0.0,0.0,0.29685316946333135,-1.8874788884626348e-13,0.0,-0.0041350393763687565,0.0,0.0,-0.004135039387296282,-0.004646215179237981,0.0,0.015299595780963425,0.0,0.0,-0.2927181300760351
1.0,high,"[311561496, 495531508, 311561495]",0.0031413181564992065,0.0,0.14359445990798608,0.0,0.0,0.14359905019912922,-1.8870408707849506e-13,0.0,-0.004135039381832541,0.0,0.0,-0.004135039381832541,-0.003141318156310427,0.0,-0.13945942052615362,0.0,0.0,-0.1394640108172964
1.0,high,8258983,0.0031507721492927965,0.0,0.1495677918546786,0.0,0.0,0.13761626425964318,-1.8870408707849506e-13,0.0,-0.004135039382060987,0.0,0.0,-0.004135039381604094,-0.0031507721491039475,0.0,-0.14543275247261717,0.0,0.0,-0.13348122487803932
0.9999,high,14351505,0.008705899576545828,0.0,-0.016480233162430247,0.0,0.0,0.2980539049638968,-2.8309602925769006e-13,0.0,-0.0041350294214695426,0.0,0.0,-0.004135049342101147,-0.00870589957626268,0.0,0.020615262583899736,0.0,0.0,-0.29391885562179554
