osmid,lighting,visibility,connectivity,enclosure,dominant_land_use_score,public_transport_proximity_m,dist_to_rail_m,dist_to_bus_m,lighting_norm,visibility_norm,connectivity_norm,enclosure_norm,dominant_land_use_score_norm,public_transport_proximity_m_norm,risk_class,risk_probability
237667614,0,0.4054,8,0.34584451424514684,0.6223,104.39,104.39,108.92,0.0,0.27425851336506774,0.5,0.47962094535132416,0.6223,0.30557834290401964,high,1.0
243716770,0,0.4289,8,0.3257156513262369,0.2913,136.15,136.15,141.19,0.0,0.3029415354570975,0.5,0.45170601865923404,0.2913,0.3986288526895581,high,1.0
4744966,0,0.4239,7,0.290159518954423,0.0213,112.24,112.41,112.24,0.0,0.29683876479921883,0.4,0.4023963863858185,0.0213,0.3285772881753193,high,1.0
237667614,0,0.4162,8,0.33163658584264766,0.2316,132.12,132.12,137.88,0.0,0.2874404979860857,0.5,0.45991723524112044,0.2316,0.3868217508496425,high,1.0
98002400,0,0.4303,8,0.3271824207698095,0.0,202.38,214.53,202.38,0.0,0.30465031124130354,0.5,0.4537401505253248,0.0,0.5926696355326379,high,1.0
237667614,0,0.4002,8,0.3284637853520374,0.111,163.57,167.43,163.57,0.0,0.2679116318808739,0.5,0.45551716090702543,0.111,0.4789640220321105,high,1.0
1409649743,5,0.7716,7,0.11221706648125161,0.0,118.06,123.61,118.06,0.15151515151515152,0.721225436348102,0.4,0.15562385203004722,0.0,0.3456287354974803,medium,0.9964
1409652519,5,0.4288,7,0.25969883864400195,0.0,91.77,103.66,91.77,0.15151515151515152,0.30281948004393994,0.4,0.3601531826200568,0.0,0.26860424235321684,high,1.0
"[170079040, 536376961]",33,0.7551,8,0.12338693196165633,0.0771,99.36,99.36,167.8,1.0,0.7010862931771024,0.5,0.17111434333609518,0.0771,0.2908414391187155,low,1.0
536376965,0,0.9798,9,0.0,0.0,102.87,105.95,102.87,0.0,0.9753448065421702,0.6,0.0,0.0,0.30112504394702916,low,1.0
"[1409649742, 238866887]",0,0.3988,8,0.23890177589144382,0.0,101.84,107.54,101.84,0.0,0.2662028560966679,0.5,0.3313115891089268,0.0,0.298107347943279,high,1.0
238866891,0,0.4128,8,0.19874839978462727,0.057,23.52,23.52,24.07,0.0,0.2832906139387282,0.5,0.27562644907010697,0.057,0.06864525958045235,high,0.9608
4746923,0,0.4571,8,0.28370660445989865,0.1577,149.17,152.84,149.17,0.0,0.33736116196753324,0.5,0.3934474141666402,0.1577,0.4367748740185162,high,1.0
31029328,0,0.3832,8,0.3887549805361988,0.0272,34.23,34.7,34.23,0.0,0.2471622116440864,0.5,0.5391296481361603,0.0272,0.10002343841556308,high,1.0
490175814,0,0.3957,8,0.20289499209139325,0.0,3.86,3.86,9.67,0.0,0.2624191382887831,0.5,0.28137698851844384,0.0,0.011045353334114612,high,0.9327
"[1409649739, 1409649741]",0,0.4225,8,0.1869130275177293,0.0,123.35,130.46,123.35,0.0,0.2951299890150128,0.5,0.2592130256921934,0.0,0.3611273877885854,high,1.0
526213091,0,0.4139,8,0.19729460635576898,0.0,1.86,1.86,6.97,0.0,0.2846332234834615,0.5,0.27361031248278406,0.0,0.0051857494433376295,high,0.6318
526213093,0,0.4064,8,0.20834298838653453,0.0305,122.95,127.84,122.95,0.0,0.27547906749664347,0.5,0.28893232921554685,0.0305,0.35995546701043,high,1.0
238324885,0,0.4221,8,0.24596659202429266,0.1748,151.15,154.99,151.15,0.0,0.29464176736238246,0.5,0.341109153195684,0.1748,0.4425758818703855,high,1.0
295124095,0,0.4197,8,0.208314874562645,0.0,35.0,35.0,37.03,0.0,0.29171243744660075,0.5,0.2888933406578686,0.0,0.10227938591351222,high,0.9996
294085157,0,0.5305,8,0.03941968740878726,0.1047,5.11,5.11,13.87,0.0,0.4269498352251922,0.5,0.054667652548204465,0.1047,0.014707605765850227,medium,0.972
"[1409649736, 1409649737]",0,0.4369,8,0.19943937750442234,0.2375,123.74,130.28,123.74,0.0,0.3127059685097034,0.5,0.27658470451015105,0.2375,0.3622700105472869,high,1.0
"[1409649734, 491295302]",0,0.3488,7,0.3630295038119336,0.0,181.16,181.16,187.39,0.0,0.2051751495178811,0.4,0.5034532763624574,0.0,0.5304992382514941,high,1.0
"[481121896, 1360091610, 489412375, 481121895]",0,0.4104,8,0.3464652156302716,0.0,141.75,141.75,147.6,0.0,0.2803612840229464,0.5,0.48048174080376665,0.0,0.4150357435837337,high,1.0
237914522,0,0.4246,8,0.2043794905378366,0.054,121.89,125.94,121.89,0.0,0.29769315269132185,0.5,0.2834357071591306,0.054,0.3568498769483182,high,1.0
891567020,0,0.4097,8,0.21354125996363887,0.4613,20.62,20.62,21.02,0.0,0.2795068961308434,0.5,0.29614134894930044,0.4613,0.06014883393882573,medium,0.9999
"[1409652521, 1094457471]",0,0.4217,8,0.18637848351638991,0.0165,107.16,115.04,107.16,0.0,0.2941535457097522,0.5,0.25847171423951976,0.0165,0.31369389429274575,high,1.0
1409649740,0,0.4153,8,0.2022203295684959,0.2933,112.55,112.55,120.41,0.0,0.2863419992676675,0.5,0.2804413591714484,0.2933,0.3294855267783897,high,1.0
"[490175813, 238324877, 891567021]",0,0.4048,8,0.20353197827099065,0.074,15.95,15.95,19.5,0.0,0.2735261808861223,0.5,0.2822603679015202,0.074,0.04646665885386147,high,0.8861
"[1409652522, 1409652523]",0,0.4203,8,0.18713713993233366,0.056,113.46,113.46,119.3,0.0,0.2924447699255462,0.5,0.25952382723372464,0.056,0.3321516465486932,high,1.0
449991627,0,0.4183,8,0.1873283628106541,0.0678,2.25,2.25,9.77,0.0,0.2900036616623947,0.5,0.2597890172075284,0.0678,0.006328372202039142,medium,0.9486
"[1409641104, 1409652524]",0,0.4329,8,0.17840349702961328,0.0469,111.54,121.19,111.54,0.0,0.30782375198340045,0.5,0.2474119159764177,0.0469,0.3265264268135474,high,1.0
1382321714,0,0.431,8,0.17920921150993396,0.0407,110.89,116.83,110.89,0.0,0.3055046991334065,0.5,0.2485292896076812,0.0407,0.32462205554904483,high,1.0
1409649738,0,0.4123,8,0.2133757052543377,0.1876,13.34,13.34,13.89,0.0,0.2826803368729403,0.5,0.2959117558723199,0.1876,0.03881987577639751,medium,0.866
"[450137745, 1408526883, 1408535287]",0,0.5868,9,0.027807918583099497,0.125,113.86,119.07,113.86,0.0,0.49566703283290614,0.6,0.038564324861966474,0.125,0.33332356732684865,medium,1.0
"[1441734225, 1408526884]",0,0.4332,7,0.15580122661666435,0.0,114.56,114.56,121.78,0.0,0.3081899182228731,0.4,0.21606684078791644,0.0,0.3353744286886206,high,1.0
489412375,0,0.4771,8,0.30279583547811406,0.0,119.32,120.4,119.32,0.0,0.36177224459904794,0.5,0.41992056799696664,0.0,0.34932028594866976,high,1.0
"[1112801408, 1409652525]",0,0.5115,8,0.21855636902000253,0.0314,116.94,116.94,125.17,0.0,0.40375930672525323,0.5,0.3030963569010765,0.0314,0.3423473573186452,high,1.0
12373020,0,0.3887,8,0.20666892550871138,0.437,15.33,15.33,16.31,0.0,0.25387525936775296,0.5,0.28661072055336645,0.437,0.04465018164772061,medium,0.9999
553772888,0,0.6905,7,0.1057130324415042,0.2263,82.65,82.65,87.5,0.0,0.6222384962773099,0.4,0.14660398666786412,0.2263,0.24188444861127384,medium,0.9998
525588035,0,0.9386,7,0.00011278333706785288,0.0596,128.09,128.09,131.9,0.0,0.9250579763212499,0.4,0.0001564091622572837,0.0596,0.37501464900972686,medium,1.0
237659855,0,0.7697,7,0.07725324930762094,0.0,53.13,53.13,53.79,0.0,0.7189063834981082,0.4,0.10713564893534415,0.0,0.15539669518340557,medium,1.0
237960945,0,0.5556,8,0.14896490764908543,0.297,129.56,129.56,131.55,0.0,0.4575857439277432,0.5,0.20658615906274896,0.297,0.379321457869448,high,0.94
542781427,0,0.3994,8,0.11020291252512183,0.003,8.26,8.26,11.0,0.0,0.26693518857561327,0.5,0.15283060135024226,0.003,0.023936481893823972,medium,0.9966
4744972,0,0.7358,7,0.04888517947382124,0.4063,19.62,19.62,22.24,0.0,0.6775295984376908,0.4,0.06779450020792778,0.4063,0.05721903199343724,low,0.9999
1409649740,0,0.5246,7,0.18173220991835223,0.1851,96.16,101.25,96.16,0.0,0.41974856584889536,0.4,0.2520282113251664,0.1851,0.28146607289347236,high,1.0
4744972,0,0.7243,7,0.04849055827875166,0.0836,115.34,121.12,115.34,0.0,0.6634932259245698,0.4,0.06724723522947916,0.0836,0.3376596742060236,medium,0.9892
"[894194807, 552422735]",0,0.8377,8,0.03533989007695115,0.8458,49.91,49.91,50.21,0.0,0.8019040644452582,0.5,0.04900974509980114,0.8458,0.14596273291925463,low,1.0
238324872,0,0.5754,8,0.14991601637975618,0.34,7.61,7.61,14.84,0.0,0.4817527157329428,0.5,0.20790516702657877,0.34,0.022032110629321457,medium,0.9799
552422732,0,0.5065,8,0.21772419557863013,0.4969,120.26,120.26,124.52,0.0,0.39765653606737456,0.5,0.3019422896939721,0.4969,0.352074299777335,high,0.9772
526213090,0,0.4518,8,0.3150020108563688,0.0026,133.4,133.4,137.89,0.0,0.33089222507018184,0.5,0.4368482251749921,0.0026,0.3905718973397398,high,1.0
1382321715,0,0.4118,8,0.2213565885034372,0.184,125.86,130.07,125.86,0.0,0.28207005980715244,0.5,0.3069797318297421,0.184,0.36848119067151053,high,1.0
237506925,0,0.5128,7,0.18660074888943717,0.0741,176.18,182.95,176.18,0.0,0.4053460270963018,0.4,0.2587799542836693,0.0741,0.5159088245634594,high,1.0
237519392,0,0.4459,8,0.28857534603521234,0.0,146.09,146.09,149.21,0.0,0.323690955693885,0.5,0.40019943809889785,0.0,0.42775108402671974,high,1.0
12373020,0,0.4173,8,0.3036726828943285,0.0,142.87,142.87,143.05,0.0,0.288783107530819,0.5,0.4211365895597535,0.0,0.4183171217625688,high,1.0
403600283,0,0.4016,8,0.18821615678925688,0.0693,127.41,133.04,127.41,0.0,0.26962040766507994,0.5,0.2610202195824571,0.0693,0.3730223836868627,high,1.0
540083908,0,0.5783,9,0.12274252665585009,0.2469,163.26,165.68,163.26,0.0,0.48529232271451245,0.6,0.1702206750278533,0.2469,0.4780557834290401,medium,0.7842
"[737064815, 1340237140, 308186233, 1313088541, 1307562463]",0,0.7896,7,0.07905949754604319,0.4927,86.99,86.99,94.31,0.0,0.7431954107164652,0.4,0.10964057369768163,0.4927,0.2545997890542599,medium,0.948
4750679,0,0.473,7,0.4638810906654201,0.0,111.04,115.23,111.04,0.0,0.35676797265958743,0.4,0.6433153572528416,0.0,0.3250615258408531,high,1.0
1182313761,0,0.6367,7,0.1590010374772443,0.1481,80.65,93.5,80.65,0.0,0.5565726839985354,0.4,0.22050437339775553,0.1481,0.23602484472049687,high,0.9148
"[1409614868, 1097003669]",0,0.6019,8,0.14559153936943667,0.3699,88.9,88.9,137.43,0.0,0.5140974002196997,0.5,0.2019079351307179,0.3699,0.2601957107699519,medium,1.0
1182313760,0,0.6439,7,0.1890764840894795,0.1857,134.03,140.6,134.03,0.0,0.5653606737458807,0.4,0.26221333086815996,0.1857,0.3924176725653345,high,1.0
237795736,0,0.4413,8,0.2023527742527608,0.2665,222.76,222.76,230.62,0.0,0.3180764066886367,0.5,0.2806250349044943,0.2665,0.6523789991796554,high,1.0
730337227,0,0.3859,8,0.26185176016213246,0.3427,188.01,188.01,222.72,0.0,0.2504577077993409,0.5,0.36313887766873126,0.3427,0.5505683815774053,high,1.0
493086069,0,0.4331,8,0.3181036779684714,0.0,104.87,111.42,104.87,0.0,0.30806786280971554,0.5,0.44114965096374203,0.0,0.3069846478378061,high,1.0
730337227,0,0.4295,8,0.34688538702036703,0.0,87.3,98.33,87.3,0.0,0.30367386793604295,0.5,0.4810644390714174,0.0,0.2555080276573303,high,1.0
730337227,0,0.4128,7,0.19221772478574897,0.0,233.74,239.86,233.74,0.0,0.2832906139387282,0.4,0.2665696377351612,0.0,0.6845482245400211,high,1.0
490175812,0,0.4553,7,0.2983229968187301,0.1119,90.88,90.88,91.98,0.0,0.33516416453069686,0.4,0.4137175865476294,0.1119,0.2659967186218211,high,1.0
552422734,0,0.5206,8,0.2793359373656841,0.2595,97.52,97.52,106.84,0.0,0.4148663493225924,0.5,0.3873861253585222,0.2595,0.2854506035392007,high,1.0
86301093,0,0.4048,8,0.3438705349316112,0.0,94.1,100.86,94.1,0.0,0.2735261808861223,0.5,0.4768834093041546,0.0,0.27543068088597206,high,1.0
