osmid,lighting,visibility,connectivity,enclosure,dominant_land_use_score,public_transport_proximity_m,dist_to_rail_m,dist_to_bus_m,lighting_norm,visibility_norm,connectivity_norm,enclosure_norm,dominant_land_use_score_norm,public_transport_proximity_m_norm,risk_class,risk_probability
129414574,0,0.859,6,0.08294841580722379,0.5,107.66,557.97,107.66,0.0,0.8058653448988021,0.18181818181818182,0.15357573879538186,0.6207324643078833,0.2924502135685361,medium,0.9998
"[168441377, 27806583]",0,0.8003,6,0.07470898885361986,0.5,86.07,440.01,86.07,0.0,0.72504474734958,0.18181818181818182,0.13832076292470216,0.6207324643078833,0.2325678149442503,medium,0.9999
27806586,0,0.8197,6,0.08782959879966507,0.5,16.54,536.93,16.54,0.0,0.7517554729450642,0.18181818181818182,0.16261305767560982,0.6207324643078833,0.039718200477062184,medium,0.9982
33653457,0,0.3781,7,0.4040020468096843,0.3697,129.47,146.43,129.47,0.0,0.14374225526641884,0.2727272727272727,0.7479939455123429,0.4589695841092489,0.35294280801020694,high,1.0
"[33652505, 22951527, 28264041]",0,0.4216,8,0.4148242017630761,0.3779,301.6,301.6,305.69,0.0,0.20363486162742667,0.36363636363636365,0.7680307409851806,0.4691495965238982,0.8303655627669607,high,1.0
33652484,0,0.5434,8,0.43247664198188307,0.3863,117.19,433.33,117.19,0.0,0.37133415943824866,0.36363636363636365,0.8007135417567477,0.47957790192427063,0.3188827869307151,high,1.0
22951546,0,0.502,11,0.40262096754300825,0.4706,139.58,441.29,139.58,0.0,0.31433292028087567,0.6363636363636364,0.7454369314132708,0.5842333954065798,0.38098407943640106,high,1.0
22956012,0,0.5448,6,0.37032324119987015,0.6125,106.73,106.73,114.9,0.0,0.3732617375740052,0.18181818181818182,0.6856389577414634,0.7603972687771571,0.2898707494314085,high,1.0
"[185351200, 33652483]",0,0.4307,8,0.402607060633811,0.4729,95.49,95.49,99.71,0.0,0.21616411950984446,0.36363636363636365,0.7454111833162935,0.587088764742396,0.25869529039773675,high,1.0
190598722,0,0.779,8,0.10172214914669157,0.3118,13.95,13.95,20.83,0.0,0.6957180228555695,0.36363636363636365,0.188334569804969,0.38708876474239606,0.03253453153602929,medium,0.8864
22951553,0,0.5096,8,0.22968414167362478,0.5,116.3,531.66,116.3,0.0,0.3247969158749829,0.36363636363636365,0.4252511805540493,0.6207324643078833,0.31641426748765744,high,1.0
33653460,0,0.8043,10,0.24993215408309447,0.5,144.53,500.04,144.53,0.0,0.7305521134517418,0.5454545454545454,0.46273958144345556,0.6207324643078833,0.39471348532756423,medium,0.9995
22951546,0,0.502,11,0.4026209675430083,0.4706,139.58,441.29,139.58,0.0,0.31433292028087567,0.6363636363636364,0.7454369314132709,0.5842333954065798,0.38098407943640106,high,1.0
22951553,0,0.5096,8,0.22968414167362478,0.5,116.3,531.66,116.3,0.0,0.3247969158749829,0.36363636363636365,0.4252511805540493,0.6207324643078833,0.31641426748765744,high,1.0
140435815,0,0.8333,9,0.021461047273478362,0.5,35.4,203.26,35.4,0.0,0.7704805176924138,0.45454545454545453,0.03973428736730645,0.6207324643078833,0.09202862373107007,low,1.0
"[27806666, 182211405]",0,0.5192,8,0.25068933511657626,0.498,84.58,280.47,84.58,0.0,0.33801459452017074,0.36363636363636365,0.46414147243181475,0.6182495344506518,0.22843512509014258,high,1.0
151214186,0,0.5076,9,0.2880133320941678,0.5,9.0,231.55,9.0,0.0,0.32204323282390207,0.45454545454545453,0.5332453890629871,0.6207324643078833,0.018805125644866034,high,0.5772
33653457,0,0.531,7,0.10576831284634294,0.5,89.46,106.19,89.46,0.0,0.3542613245215476,0.2727272727272727,0.1958258832123903,0.6207324643078833,0.24197037776668331,high,0.9984
"[33653458, 22951575]",0,0.4595,6,0.4240885619861931,0.4132,199.81,226.95,199.81,0.0,0.2558171554454083,0.18181818181818182,0.7851833406085219,0.5129733085040348,0.5480390525323127,high,1.0
27805207,0,0.6107,6,0.2904809368226229,0.5,296.82,921.11,296.82,0.0,0.4639955941071183,0.18181818181818182,0.5378140624431781,0.6207324643078833,0.817107671825595,high,1.0
204149303,0,0.5754,7,0.29393925360346207,0.5,171.25,948.36,171.25,0.0,0.41539308825554183,0.2727272727272727,0.5442170003346042,0.6207324643078833,0.46882454096632836,high,1.0
24567519,0,0.4021,10,0.45851580239349576,0.3501,90.45,1483.86,90.45,0.0,0.1767864518793887,0.5454545454545454,0.848924026054829,0.43463687150837993,0.244716258944916,high,1.0
"[28213811, 1349865463]",0,0.6579,7,0.27574499726871265,0.2197,214.25,1602.07,214.25,0.0,0.5289825141126258,0.2727272727272727,0.510531048273319,0.2727498448168839,0.588090087091585,high,1.0
140435810,0,0.7673,5,0.09161546701428697,0.2685,119.64,1507.9,119.64,0.0,0.6796089770067466,0.09090909090909091,0.16962244420076966,0.33333333333333337,0.32567814944250295,high,1.0
121906063,3,0.7517,7,0.05461373655996359,0.5,7.87,1877.31,7.87,0.42857142857142855,0.6581302492083162,0.2727272727272727,0.10111519139877691,0.6207324643078833,0.015670938037388366,low,1.0
221266734,0,0.5781,7,0.2418095755418116,0.5,16.4,1890.08,16.4,0.0,0.41911056037450084,0.2727272727272727,0.44770094582562625,0.6207324643078833,0.039329894047817164,high,0.9985
"[128665330, 95340420]",0,0.9546,10,0.0,0.5,63.48,2059.07,63.48,0.0,0.9374913947404655,0.5454545454545454,0.0,0.6207324643078833,0.16991179896821434,low,1.0
128665332,0,0.8864,11,0.013663845445593561,0.5,47.83,2048.87,47.83,0.0,0.8435908026986095,0.6363636363636364,0.025298073973706883,0.6207324643078833,0.12650468741332446,low,1.0
190598700,0,0.8063,6,0.06317897698808966,0.5,23.68,82.79,23.68,0.0,0.7333057965028226,0.18181818181818182,0.11697339813977868,0.6207324643078833,0.05952182836855828,medium,0.9949
22956003,0,0.5981,6,0.21070780121544924,0.5,49.64,136.4,49.64,0.0,0.4466473908853091,0.18181818181818182,0.39011723041002255,0.6207324643078833,0.13152493481999225,high,1.0
"[33652769, 26172503]",0,0.6612,6,0.171919779788007,0.4316,59.61,240.5,59.61,0.0,0.5335260911469091,0.18181818181818182,0.3183027299260751,0.5358162631905649,0.15917789981694128,high,1.0
33652768,0,0.581,6,0.21065870662737873,0.2987,111.46,138.47,111.46,0.0,0.42310340079856806,0.18181818181818182,0.39002633370560197,0.37082557417752954,0.3029899595051867,high,1.0
4951339,0,0.5003,9,0.374484660937882,0.5,177.15,177.15,180.51,0.0,0.31199228968745696,0.45454545454545453,0.6933436631837969,0.6207324643078833,0.4851888833416543,high,1.0
22956072,0,0.4914,8,0.39185533996625715,0.5,116.9,139.05,116.9,0.0,0.29973840011014735,0.36363636363636365,0.7255047941613922,0.6207324643078833,0.31807843789870754,high,1.0
159090813,0,0.5658,11,0.2154462484122483,0.5,95.13,98.91,95.13,0.0,0.40217540961035386,0.6363636363636364,0.39889027956243256,0.6207324643078833,0.2576967881511067,medium,1.0
159090820,0,0.6891,9,0.19336916169187923,0.5,139.5,148.87,139.5,0.0,0.5719399697094866,0.45454545454545453,0.3580154193190484,0.6207324643078833,0.380762190048261,high,0.5796
22951528,0,0.3598,7,0.4222763073314375,0.5,163.55,163.62,163.55,0.0,0.11854605534902934,0.2727272727272727,0.7818280221882608,0.6207324643078833,0.4474676873578522,high,1.0
"[27806517, 33686381]",0,0.7523,10,0.1798136496479431,0.5,137.19,138.22,137.19,0.0,0.6589563541236404,0.5454545454545454,0.33291792038988993,0.6207324643078833,0.3743551339657181,medium,1.0
22956101,0,0.3909,9,0.38741220870758986,0.5188,80.76,80.76,80.76,0.0,0.16136582679333614,0.45454545454545453,0.7172785108867301,0.6440720049658598,0.217839906806457,high,1.0
27806506,0,0.4842,9,0.3307201543010903,0.5,107.48,107.48,107.48,0.0,0.2898251411262564,0.45454545454545453,0.6123153955025793,0.6207324643078833,0.2919509624452211,high,1.0
"[33686381, 27806517]",0,0.7523,10,0.1798136496479431,0.5,137.19,138.22,137.19,0.0,0.6589563541236404,0.5454545454545454,0.33291792038988993,0.6207324643078833,0.3743551339657181,medium,1.0
159090813,0,0.5658,11,0.2154462484122483,0.5,95.13,98.91,95.13,0.0,0.40217540961035386,0.6363636363636364,0.39889027956243256,0.6207324643078833,0.2576967881511067,medium,1.0
33686379,0,0.4576,8,0.3092016718960515,0.5,13.24,17.28,13.24,0.0,0.25320115654688147,0.36363636363636365,0.5724747692416802,0.6207324643078833,0.030565263216286682,high,1.0
121996235,0,0.7363,7,0.047877861112422766,0.5301,76.32,77.22,76.32,0.0,0.6369268897149938,0.2727272727272727,0.08864398217527698,0.6581005586592179,0.2055250457646863,medium,1.0
1015241560,0,0.9887,6,0.0,0.5,32.42,82.5,32.42,0.0,0.9844416907613935,0.18181818181818182,0.0,0.6207324643078833,0.08376324402285462,low,1.0
33686378,0,0.4813,6,0.3827990376127611,0.5025,186.84,189.53,186.84,0.0,0.28583230070218923,0.18181818181818182,0.7087374055240387,0.6238361266294227,0.5120652354801132,high,1.0
159090816,0,0.9574,7,0.0024898546318317376,0.5,52.11,61.04,52.11,0.0,0.9413465510119785,0.2727272727272727,0.004609868203695844,0.6207324643078833,0.13837576967881512,low,1.0
52957427,0,0.4467,11,0.47873039633539716,0.4939,197.59,1226.71,197.59,0.0,0.238193583918491,0.6363636363636364,0.8863505539621382,0.6131595282433271,0.5418816220114274,high,1.0
